FirstName,LastName,Company,Country,Director since,Tenure,Age,Female
Gordon H.,Hanson,"PriceSmart, Inc.",US,2014,2,51,
Dominique,Leroy,Proximus,Belgium,2014,2,51,Yes
Paul,Boynton,Rayonier Advanced Materials Inc.,US,2014,2,51,
Tracy,Atkinson,Raytheon Company,US,2014,2,51,Yes
Yves,Guillemot,Remy Cointreau,France,2013,2,51,
Lucinda,Bell,Rotork plc,UK,2014,2,51,Yes
Maxim,Bystrov,RusHydro PJSC,Russia,2013,2,51,
Robert T.,Nelsen,"Sage Therapeutics, Inc.",US,2013,2,51,
Wenbo,Xiang,"SANY Heavy Industry Co., Ltd.",China,2013,2,51,
John,Orwin,"Seattle Genetics, Inc.",US,2014,2,51,
Deborah M.,Thomas,"SeaWorld Entertainment, Inc.",US,2013,2,51,Yes
James,Heppelmann,Sensata Technologies Holding N.V.,US,2014,2,51,
Gordon,Stuart,Sepura plc,UK,2013,2,51,
Marina,Wyatt,Shanks Group plc,UK,2013,2,51,Yes
Jian,Chen,"Shenzhen Overseas Chinese Town Holding Co., Ltd",China,2013,2,51,
Shengli,Du,"Shenzhen Overseas Chinese Town Holding Co., Ltd",China,2013,2,51,
Dong-hyeon,Jang,SK Telecom Co.,South Korea,2014,2,51,
Kim,Fausing,SMA Solar Technology AG,Germany,2014,2,51,
Tony D.,Bartel,Sonic Corp.,US,2014,2,51,
W. Keith,Maxwell,"Spark Energy, Inc.",US,2014,2,51,
Mark,Rogerson,Speedy Hire plc,UK,2013,2,51,
Kathryn (Kate) Elizabeth,Swann,SSP Group plc,UK,2014,2,51,Yes
Naguib,Kheraj,Standard Chartered plc,UK,2014,2,51,
Thomas B.,Michaud,Stifel Financial Corp.,US,2013,2,51,
Teresa A.,Taylor,"T-Mobile US, Inc.",US,2013,2,51,Yes
Christoph,Meister,Talanx AG,Germany,2014,2,51,
Stanley,Reynolds,"The Children's Place, Inc.",US,2014,2,51,
Ploutarchos,Sakellaris,Titan Cement Company SA,Greece,2013,2,51,
Martine,Irman,TMX Group Limited,Canada,2014,2,51,Yes
Michael,Wissell,TMX Group Limited,Canada,2014,2,51,
Torbjorn,Magnusson,TopDanmark AS,Denmark,2014,2,51,
Julie,McHugh,"Trevena, Inc.",US,2014,2,51,Yes
Guido,Rivolta,Trevi Finanziaria Industriale SpA,Italy,2014,2,51,
Mary,McDowell,UBM plc,UK,2014,2,51,Yes
Maria,Pope,Umpqua Holdings Corporation,US,2014,2,51,Yes
Antonella,Bardoni,Unione di Banche Italiane S.p.A.,Italy,2013,2,51,Yes
Pierpaolo,Camadini,Unione di Banche Italiane S.p.A.,Italy,2013,2,51,
Gian Luigi,Gola,Unione di Banche Italiane S.p.A.,Italy,2013,2,51,
Mary,Tuuk,"Universal Forest Products, Inc.",US,2014,2,51,Yes
Peter A.,Vaughn,"Vail Resorts, Inc.",US,2013,2,51,
Mark ,Heimbouch,"Vantiv, Inc.",US,2014,2,51,
Patrick,Mullen,Vectren Corporation,US,2014,2,51,
Bert,Groenewegen,Wereldhave NV,Netherlands,2014,2,51,
Jennifer M.,Pollino,"Wesco Aircraft Holdings, Inc.",US,2014,2,51,Yes
Roisin,Brennan,Wireless Group plc,UK,2014,2,51,Yes
Patrick,Decker,Xylem Inc.,US,2014,2,51,
Weijie,Sun,"Yantai Jereh Oilfield Services Group Co., Ltd.",China,2013,2,51,
Elane,Stock,"YUM! Brands, Inc.",US,2014,2,51,Yes
Giovanni,Caforio,Bristol-Myers Squibb Company,US,2014,2,51,
Botan,Li,"Kweichow Moutai Co., Ltd.",China,2014,2,51,
Wayne,Hewett,"The Home Depot, Inc.",US,2014,2,51,
Kimberly,Harris,U.S. Bancorp,US,2014,2,51,Yes
Vladimir,Jacimovic,"8x8, Inc.",US,2014,1,51,
Jonathan B.,Mellin,A. M. Castle & Co.,US,2014,1,51,
Luca,Camerano,A2A SpA,Italy,2014,1,51,
Todd,Wider,Abeona Therapeutics Inc.,US,2015,1,51,
Roberta,Neri,Acea Spa,Italy,2015,1,51,Yes
Ameet H.,Desai,Adani Enterprises Ltd.,India,2014,1,51,
Filip,Coremans,ageas SA/NV,Belgium,2015,1,51,
Uwe,Krueger,Aggreko plc,UK,2015,1,51,
Patrick,Vieu,Air France Klm,France,2015,1,51,
María Amparo,Moraleda Martínez,Airbus Group,Netherlands,2015,1,51,Yes
Deborah,Dunie,Alliant Energy Corporation,US,2015,1,51,Yes
Jean-Luc,Allavena,Altice NV,Netherlands,2014,1,51,
Luis,Maroto Camino,Amadeus IT Holdings SA,Spain,2014,1,51,
Anna,Puccio,Amplifon S.p.A.,Italy,2015,1,51,Yes
William,Bertrand,"Ardelyx, Inc.",US,2015,1,51,
Rob,Rennie,Avon Rubber plc,UK,2015,1,51,
Mark Anthony,Connelly,B2Gold Corp.,Canada,2014,1,51,
Theodore,Harris,Balchem Corporation,US,2015,1,51,
Massimo,Tononi,Banca Monte dei Paschi di Siena SPA,Italy,2015,1,51,
Antonino ,Turicchi,Banca Monte dei Paschi di Siena SPA,Italy,2015,1,51,
Tarcisio Jose Massote de,Godoy,Banco do Brasil S.A.,Brazil,2015,1,51,
Thomas,Stanton,"BancorpSouth, Inc.",US,2015,1,51,
Yinghao,Huang,"Bank of Beijing Co., Ltd.",China,2014,1,51,
William,Koefoed,"Bank of the Ozarks, Inc.",US,2015,1,51,
Christine E.,Petersen,"Bankrate, Inc.",US,2014,1,51,Yes
Michael,Mahoney,Baxter International Inc.,US,2015,1,51,
Mary T.,McDowell,"Bazaarvoice, Inc.",US,2014,1,51,Yes
Marcelo Pinheiro,Franco,BB Seguridade Participacoes S.A.,Brazil,2015,1,51,
Ian,Livingston,BELMOND LTD.,US,2015,1,51,
J. Patrick,Doyle,"Best Buy Co., Inc.",US,2014,1,51,
Andrea,Gisle Joosen,BillerudKorsnas AB,Sweden,2015,1,51,
Mary,Zappone,"Blucora, Inc.",US,2015,1,51,Yes
David,Bullock,"BMC Stock Holdings, Inc.",US,2015,1,51,
Michael,Miller,"BMC Stock Holdings, Inc.",US,2015,1,51,
Mauricio Roberto de Carvalho,Ferro,Braskem S.A.,Brazil,2015,1,51,
Jonathan E.,Baliff,Bristow Group Inc.,US,2014,1,51,
Raymond,Kober,CANCOM SE,Germany,2015,1,51,
Raymond ,Lewis,"Care Capital Properties, Inc.",US,2015,1,51,
Keith,Cochrane,Carillion plc,UK,2015,1,51,
Andrew Lieh Cheung,Tung,Cathay Pacific Airways Ltd,Hong Kong,2015,1,51,
Victor Tzar Kuoi,Li,Cheung Kong Property Holdings Ltd.,Hong Kong,2015,1,51,
C. Patrick,Machado,"Chimerix, Inc.",US,2014,1,51,
Ya,Yang,"China Yangtze Power Co., Ltd.",China,2015,1,51,
Nachiket,Mor,Cipla Limited,India,2014,1,51,
Ana,Dutra,CME Group Inc.,US,2015,1,51,Yes
William R.,Nuti,"Coach, Inc.",US,2014,1,51,
Rene,Obermann,CompuGroup Medical SE,Germany,2015,1,51,
Stefan,Scholz,Continental AG,Germany,2015,1,51,
Kristina,Leslie,CVB Financial Corp.,US,2015,1,51,Yes
Huimin,Tian,"Daqin Railway Co., Ltd.",China,2015,1,51,
Dmitri L.,Stockton,Deere & Company,US,2015,1,51,
Dwight,Gardiner,Drax Group plc,UK,2015,1,51,
Steven,Newman,"Dril-Quip, Inc.",US,2015,1,51,
Rajat,Taneja,"Ellie Mae, Inc.",US,2015,1,51,
Catherine,Guillouard,Engie,France,2015,1,51,Yes
Dudu,Hlatshwayo,Erin Energy Corporation,US,2015,1,51,Yes
Gonzalo,Gortazar Rotaeche,Erste Group Bank AG,Austria,2015,1,51,
Regina,Haberhauer,Erste Group Bank AG,Austria,2015,1,51,Yes
Olga,Botero,"EVERTEC, Inc.",US,2014,1,51,Yes
Stephen,Eastman,Fastenal Company,US,2015,1,51,
Jeffrey,Henderson,"FibroGen, Inc.",US,2015,1,51,
Lars,Soderfjell,Fingerprint Cards AB,Sweden,2015,1,51,
Imelda,Walsh,FirstGroup plc,UK,2014,1,51,Yes
Barry,Perry,Fortis Inc.,Canada,2015,1,51,
Catharine,Farrow,Franco-Nevada Corporation,Canada,2015,1,51,Yes
Ruzhu,Wang,Gree Electric Appliances Inc of Zhuhai,China,2014,1,51,
Girish,Lakshman,GrubHub Inc.,US,2015,1,51,
Xiaolei,Wu,"Guanghui Energy Co., Ltd.",China,2015,1,51,Yes
Jeffrey,Henderson,"Halozyme Therapeutics, Inc.",US,2015,1,51,
Christie,Chu,Hanmi Financial Corporation,US,2015,1,51,Yes
Hyeon-woo,Shin,"Hanwha Techwin Co., Ltd.",South Korea,2015,1,51,
Matthew,Levatich,"Harley-Davidson, Inc.",US,2015,1,51,
Richard,Hoskins,Hastings Group Holdings plc,UK,2015,1,51,
Wayne,Barr Jr.,"HC2 Holdings, Inc.",US,2014,1,51,
Michael,Angelakis,Hewlett Packard Enterprise Company,US,2015,1,51,
Stacy,Enxing Seng,"Hill-Rom Holdings, Inc.",US,2015,1,51,Yes
Tim,Ryan,Huntsworth plc,UK,2015,1,51,
Yong-bae,Lee,Hyundai WIA Corp.,South Korea,2015,1,51,
Muriel,Mayette-Holtz,ID Logistics Group,France,2015,1,51,Yes
Vincent J.,Milano,"Idera Pharmaceuticals, Inc.",US,2014,1,51,
Darren,Throop,IMAX Corporation,US,2015,1,51,
Janet,Vergis,"Impax Laboratories, Inc.",US,2015,1,51,Yes
Annette,Engelfried,Infineon Technologies AG,Germany,2015,1,51,Yes
John,Gates,"InfraREIT, Inc.",US,2015,1,51,
Jessica,Hopfield,Insulet Corporation,US,2015,1,51,Yes
John,Mangelaars,International Personal Finance plc,UK,2015,1,51,
Marc,Gibeley,Invacare Corporation,US,2015,1,51,
Zarina,Bassa,Investec Ltd,South Africa,2014,1,51,Yes
Zarina,Bassa,Investec plc,UK,2014,1,51,Yes
Henrik,Schliemann,Iridium Communications Inc.,US,2015,1,51,
Tatsusaburo,Yamamoto,Janus Capital Group Inc.,US,2015,1,51,
Jennifer,Pollino,Kaman Corporation,US,2015,1,51,Yes
Noel,Wallace,Kellogg Company,US,2015,1,51,
John,Butler,"Keryx Biopharmaceuticals, Inc.",US,2015,1,51,
Mikael,Aro,Kesko Oyj,Finland,2015,1,51,
Donald D.,Charron,"KIMBALL ELECTRONICS, INC.",US,2014,1,51,
Bruce,McLennan,Kingspan Group plc,Ireland,2015,1,51,
Jonas,Prising,Kohl's Corporation,US,2015,1,51,
Dominique,Leroy,Koninklijke Ahold NV,Netherlands,2015,1,51,Yes
Jolande,Sap,Koninklijke KPN NV,Netherlands,2015,1,51,Yes
Sung-Hwan,Shin,Korea Gas Corp. ,South Korea,2014,1,51,
Anne,Lalou,Korian,France,2014,1,51,Yes
Gerard,Lamarche,LafargeHolcim Ltd.,Switzerland,2015,1,51,
James,Clemmer,"Lantheus Holdings, Inc.",US,2015,1,51,
Lawrence,Gray,Lexington Realty Trust,US,2015,1,51,
Janet ,Yeung,Loral Space & Communications Inc.,US,2015,1,51,Yes
Mark,Genender,"LSB Industries, Inc.",US,2015,1,51,
Mario,Notari,Luxottica Group S.p.A.,Italy,2015,1,51,
Reynald A.,Baribault,Matador Resources Company,US,2014,1,51,
C. Patrick,Machado,"Medivation, Inc.",US,2014,1,51,
Eric,Cantor,Moelis & Company,US,2014,1,51,
Robin,Diamonte,"Morningstar, Inc.",US,2015,1,51,Yes
Paul,Cassignol,Mr Bricolage,France,2015,1,51,
Keith,Wiggins,Nanoco Group plc,UK,2014,1,51,
Ningjie,Zhang,Nari Technology Development Ltd Co,China,2015,1,51,
Francoise,Lemalle,Natixis,France,2015,1,51,Yes
Dwight M. (Mitch),Barns,Nielsen Holdings plc,US,2014,1,51,
Helene ,Vletter-van Dort ,NN GROUP NV,Netherlands,2015,1,51,Yes
Robert,Baron,NorthWest Healthcare Properties Real Estate Investment Trust,Canada,2015,1,51,
Stanislav,Shekshnya,Novolipetsk Steel,Russia,2015,1,51,
Patrick,Drahi,Numericable Sfr,France,2014,1,51,
Gary R.,Maharaj,NVE Corporation,US,2014,1,51,
Michael,Suess,OC Oerlikon Corporation AG,Switzerland,2015,1,51,
Ricardo Malavazi, Martins,Oi S.A.,Brazil,2015,1,51,
Adiba,Ighodaro,Old Mutual plc,UK,2014,1,51,Yes
Luke T.,Faulstick,Orthofix International N.V.,US,2014,1,51,
Charles,MacFarlane,Otter Tail Corporation,US,2015,1,51,
Saila,Miettinen-Lahde,Outokumpu Oyj,Finland,2015,1,51,Yes
Kirthi,Kalyanam,"Overstock.com, Inc.",US,2015,1,51,
Robert,Radie,"Paratek Pharmaceuticals, Inc.",US,2014,1,51,
Neil A.,Schrimsher,"Patterson Companies, Inc.",US,2014,1,51,
Marc,Coucke,Perrigo Company plc,US,2015,1,51,
Tessa,Green,Pets at Home Group plc,UK,2014,1,51,Yes
John ,Taylor,Pfenex Inc.,US,2015,1,51,
Ricardo Malavazi, Martins,PHarol SGPS SA,Portugal,2015,1,51,
Pedro,Zañartu Gubert Morais Leitão,PHarol SGPS SA,Portugal,2015,1,51,
Dmitry,Pleskonos,PIK Group PJSC,Russia,2014,1,51,
Charles,Brock,"Pinnacle Financial Partners, Inc.",US,2015,1,51,
Miles,Roberts,Poundland Group plc,UK,2014,1,51,
Diane,Aigotti,"PrivateBancorp, Inc.",US,2015,1,51,Yes
David,O'Connor,"Prologis, Inc.",US,2015,1,51,
Adrian M.,Senderowicz,"Puma Biotechnology, Inc.",US,2015,1,51,
Per,Lagerström,Rand Merchant Insurance Holdings Limited,South Africa,2014,1,51,
Mario,Notari,RCS MediaGroup S.p.A.,Italy,2015,1,51,
Christine,Riordan,"RE/MAX Holdings, Inc.",US,2015,1,51,Yes
Francois,Pauly,Regus plc,UK,2015,1,51,
Emmanuel,de Geuser,Remy Cointreau,France,2014,1,51,
Gonzalo,Gortazar Rotaeche,Repsol SA,Spain,2015,1,51,
Tamar,Yehoshua,"RetailMeNot, Inc.",US,2015,1,51,Yes
Per,Lagerström,RMB Holdings Ltd,South Africa,2014,1,51,
Jenifer,Bunis,Rofin-Sinar Technologies Inc.,US,2015,1,51,Yes
Larisa,Kalanda,RusHydro PJSC,Russia,2014,1,51,Yes
Stephen,Fisher,"Safeguard Scientifics, Inc.",US,2015,1,51,
Lance,Batchelor,Saga plc,UK,2014,1,51,
Jin-Han,Bae,Samsung C&T Corp.,South Korea,2014,1,51,
Seung-woo,Lee,Samsung Securities Co. Ltd.,South Korea,2015,1,51,
Rhian,Davies,Schroders plc,UK,2015,1,51,Yes
Daniel,Steinke,Secure Energy Services Inc.,Canada,2015,1,51,
Michel,Giannuzzi,Sequana,France,2015,1,51,
Jinfeng,Li,Shaanxi Coal Industry Company Limited,China,2014,1,51,
Steven,Newman,SNC-Lavalin Group Inc.,Canada,2015,1,51,
Jean,Raby,SNC-Lavalin Group Inc.,Canada,2015,1,51,
Soumitra,Dutta,Sodexo,France,2015,1,51,
Glen Francis,Boreham,Southern Cross Media Group,Australia,2014,1,51,
Ulf,Quellmann,Spectris plc,UK,2015,1,51,
Robert,Hull,"SPX FLOW, Inc.",US,2015,1,51,
Nicolas,Dufourcq,STMicroelectronics NV,Netherlands,2015,1,51,
Richard,Butcher,Stobart Group Ltd,UK,2014,1,51,
Rekha,Sethi,Sun Pharmaceutical Industries Ltd.,India,2014,1,51,Yes
Mathew M.,Pendo,SUPERVALU INC.,US,2014,1,51,
Brent,Turner,"Surgery Partners, Inc.",US,2015,1,51,
Shawn T.,McCormick,"SurModics, Inc.",US,2015,1,51,
Grant Anthony,Fenn,Sydney Airport,Australia,2015,1,51,
Steve,Bennett,Synthomer plc,UK,2015,1,51,
Sylvia,Kerrigan,"Team, Inc.",US,2015,1,51,Yes
Nunu,Ntshingila,Telkom SA SOC Limited,South Africa,2014,1,51,Yes
Lisa,Bacus,Teradata Corporation,US,2015,1,51,Yes
Wenche,Agerup,TGS Nopec Geophysical Co. ASA,Norway,2015,1,51,Yes
Benno,Dorer,The Clorox Company,US,2014,1,51,
Samuel M.,Sato,"The Finish Line, Inc.",US,2014,1,51,
Kelly M.,Williams,"The Greenbrier Companies, Inc.",US,2015,1,51,Yes
Steven,Hash,The Macerich Company,US,2015,1,51,
Jorge,Gonzalez,The St. Joe Company,US,2015,1,51,
Keith William,Down,Topps Tiles plc,UK,2015,1,51,
Coline,McConville,Travis Perkins plc,UK,2015,1,51,Yes
Stephanie C.,Hildebrandt,"TRC Companies, Inc.",US,2014,1,51,Yes
Tracy,Conerly,Trustmark Corporation,US,2015,1,51,Yes
Busi,Mabuza,Tsogo Sun Holdings Ltd.,South Africa,2014,1,51,Yes
Lisa ,Pollina,Two Harbors Investment Corp.,US,2015,1,51,Yes
Carl,Moore,UK Mail Group plc,UK,2014,1,51,
John,Schultz,Umpqua Holdings Corporation,US,2015,1,51,
Elena,Zambon,UniCredit SpA,Italy,2015,1,51,Yes
Stephen,Carter,United Utilities Group plc,UK,2014,1,51,
Tarcisio Jose Massote de,Godoy,Vale S.A.,Brazil,2015,1,51,
Tayfun,Tuzun,"Vantiv, Inc.",US,2015,1,51,
Geeta,Gopalan,Virgin Money Holdings (UK) plc,UK,2015,1,51,Yes
Marc,Bitzer,WHIRLPOOL CORPORATION,US,2015,1,51,
Neal,Aronson,Wingstop Inc.,US,2015,1,51,
Hubert Rene,Brody,Woolworths Holdings Ltd,South Africa,2014,1,51,
Scott Redvers,Perkins,Woolworths Ltd.,Australia,2014,1,51,
Seong-su,Ko,Woori Bank ,South Korea,2015,1,51,
Robert J.,Laikin,WP Glimcher Inc.,US,2014,1,51,
James,Cullens,WS Atkins plc,UK,2014,1,51,
Keith,Bass,"Xenia Hotels & Resorts, Inc.",US,2015,1,51,
Lingli,Han,"Zhejiang Zheneng Electric Power Co., Ltd.",China,2014,1,51,Yes
Michael,Angelakis,Duke Energy Corporation,US,2015,1,51,
Mary T.,Szela,Novo Nordisk A/S,Denmark,2015,1,51,Yes
Xinyi,Liu,"Shanghai Pudong Development Bank Co., Ltd.",China,2015,1,51,
Yaliang,Shao,"Shanghai Pudong Development Bank Co., Ltd.",China,2015,1,51,
Wenche,Agerup,Statoil ASA,Norway,2015,1,51,Yes
Patrick,Pouyanne,Total SA,France,2015,1,51,
Catherine,Guillouard,Airbus Group,Netherlands,2016,0,51,Yes
Roger,Newport,AK Steel Holding Corporation,US,2016,0,51,
Qisen,Huang,"Alliance HealthCare Services, Inc.",US,2016,0,51,
Gary,Kain,American Capital Agency Corp.,US,2016,0,51,
Gary,Kain,American Capital Mortgage Investment Corp.,US,2016,0,51,
John P.,Sanders,"American Science and Engineering, Inc.",US,2015,0,51,
Deanna,Goodwin,Arcadis NV,Netherlands,2016,0,51,Yes
Melanie Victoria Rose,Willis,Ardent Leisure Group,Australia,2015,0,51,Yes
Anna,Protopapas,"ARIAD Pharmaceuticals, Inc.",US,2015,0,51,Yes
Anthony P.,Nader III,Arlington Asset Investment Corp.,US,2015,0,51,
Ulf,Ewaldsson,Assa Abloy AB,Sweden,2016,0,51,
Yasmin Anita,Allen,ASX Ltd.,Australia,2015,0,51,Yes
Avnit Bimal,Singh,Aurobindo Pharma Ltd.,India,2015,0,51,Yes
Philip,Moyles,"Baldwin & Lyons, Inc.",US,2016,0,51,
Rustem,Mardanov,Bashneft PJSOC,Russia,2015,0,51,
Jeffrey S.,Hawn,"Bazaarvoice, Inc.",US,2015,0,51,
Sushma,Taishete,Bharat Petroleum Corporation Ltd.,India,2015,0,51,Yes
Marion,Helmes,Bilfinger SE,Germany,2016,0,51,Yes
John,Clendening,"Blucora, Inc.",US,2016,0,51,
Scott Redvers,Perkins,Brambles Ltd,Australia,2015,0,51,
Steve,Ashmore,Brammer plc,UK,2016,0,51,
D. Christian,Koch,Carlisle Companies Incorporated,US,2016,0,51,
Christina Karlsson,Kazeem,Castellum AB,Sweden,2016,0,51,Yes
Gregory T.,Lucier,"Catalent, Inc.",US,2015,0,51,
Richard,Sobel,Cherkizovo Group PJSC,Russia,2016,0,51,
Renhuai,Zong,"China Yangtze Power Co., Ltd.",China,2016,0,51,
Thomas,Knapp,Colony Starwood Homes,US,2016,0,51,
Birgitte,Nielsen,Coloplast A/S,Denmark,2015,0,51,Yes
V. Kalyana,Rama,Container Corporation of India Ltd.,India,2015,0,51,
Robert John,Rankin,Crown Resorts Ltd.,Australia,2015,0,51,
Jeffrey,Slovin,DENTSPLY Sirona Inc.,US,2016,0,51,
John,Browett,Dunelm Group plc,UK,2015,0,51,
Sylvia,Coutinho,Edenred,France,2016,0,51,Yes
David,Porter,Electrolux AB,Sweden,2016,0,51,
Annika,Espander Jansson,Elekta AB,Sweden,2015,0,51,Yes
Paul,Waterman,Elementis plc,UK,2016,0,51,
Marcelo Souza,Monteiro,Equatorial Energia S.A.,Brazil,2015,0,51,
Libano Miranda,Barroso,Estacio Participacoes SA,Brazil,2016,0,51,
Jackson Medeiros de Farias,Schneider,Estacio Participacoes SA,Brazil,2016,0,51,
Harold,Boel,Eurazeo,France,2016,0,51,
Frank,Mencini,F.N.B. Corporation,US,2016,0,51,
F. Philip,Snow,FactSet Research Systems Inc.,US,2015,0,51,
Jennifer,Sherman,Federal Signal Corporation,US,2016,0,51,Yes
Kim,VanGelder,"Financial Institutions, Inc.",US,2016,0,51,Yes
Marius,Kloppers,FLSmidth & Co.A/S,Denmark,2016,0,51,
Russell A.,Schaub,Great Ajax Corp.,US,2015,0,51,
Rima,Qureshi,Great-West Lifeco Inc.,Canada,2016,0,51,Yes
Jill,McDonald,Halfords Group plc,UK,2015,0,51,Yes
Gwang-min,Lee,Hanwha Chemical Corp.,South Korea,2016,0,51,
Peter,Lyle,Healthcare Realty Trust Incorporated,US,2016,0,51,
Jochen,Gann,Hikma Pharmaceuticals plc,UK,2016,0,51,
Curtis A.,Glovier,"HRG Group, Inc.",US,2015,0,51,
Corinne,Vigreux,Iliad,France,2016,0,51,Yes
Louis,Tetu,Industrial Alliance Insurance and Financial Services Inc.,Canada,2016,0,51,
J. Paul,Raines,"J. C. Penney Company, Inc.",US,2016,0,51,
Andrea,Gisle Joosen,James Hardie Industries plc,Australia,2015,0,51,Yes
Charlie,Pleas,"Kirkland's, Inc.",US,2016,0,51,
Ho-young,Jeong,LG Chem Ltd. ,South Korea,2016,0,51,
Sally,Cabrini,Lookers plc,UK,2016,0,51,Yes
Shawn,O'Donnell,Lumos Networks Corp.,US,2016,0,51,
Christopher,Parks,M.video PJSC,Russia,2015,0,51,
Ian,Livingston,Man Group plc,UK,2016,0,51,
Chris,Smith,McBride plc,UK,2015,0,51,
Constance C.,Hallquist,"Medifast, Inc.",US,2015,0,51,Yes
Geoffrey,Hesslink,"Merchants Bancshares, Inc.",US,2016,0,51,
Arja,Talma,Metso Corporation,Finland,2016,0,51,Yes
Andrew,England,"National CineMedia, Inc.",US,2016,0,51,
Sylvie,Garcelon,Natixis,France,2016,0,51,Yes
Scott Redvers,Perkins,Origin Energy Ltd.,Australia,2015,0,51,
Elena,Vasco,PARMALAT S.p.A.,Italy,2016,0,51,Yes
Francisco Petros,Papathanasiadis,Petroleo Brasileiro SA-Petrobras,Brazil,2016,0,51,
Kelly,Barrett,"Piedmont Office Realty Trust, Inc.",US,2016,0,51,Yes
Scott,Reiner,"Premier, Inc.",US,2015,0,51,
Ronald M.,Lombardi,"Prestige Brands Holdings, Inc.",US,2015,0,51,
Robert J.,Andersen,Quantum Corporation,US,2015,0,51,
Patricia Elizabeth,Akopiantz,Ramsay Health Care Ltd.,Australia,2015,0,51,Yes
Robert,MacLeod,RELX NV,Netherlands,2016,0,51,
Robert,MacLeod,RELX plc,UK,2016,0,51,
Mike,Rogers,Royal Bank of Scotland Group plc,UK,2016,0,51,
Gyeong-guk,Park,Samsung Card Co.,South Korea,2016,0,51,
Young-muk,Jeon,Samsung Securities Co. Ltd.,South Korea,2016,0,51,
Victor,Hill,Santander Consumer USA Holdings Inc.,US,2015,0,51,
Silvio ,Napoli,Schindler Holding AG,Switzerland,2016,0,51,
Deborah B.,Dunie,Science Applications International Corporation,US,2015,0,51,Yes
Anders,Boos,Securitas AB,Sweden,2016,0,51,
Jingtao,Bai,"Shanghai International Port (Group) Co., Ltd.",China,2016,0,51,
D.V.,Ravi,Shriram Transport Finance Company Limited,India,2015,0,51,
Yoon-gyeong,Ha,SK Innovation Co. Ltd.,South Korea,2016,0,51,Yes
Sylvie,Remond,Sopra Steria Group,France,2015,0,51,Yes
Kevin,Boyd,Spirax-Sarco Engineering plc,UK,2016,0,51,
Tami,Reller,"SPS Commerce, Inc.",US,2016,0,51,Yes
Marika,Fredriksson,SSAB AB,Sweden,2016,0,51,Yes
Paul-Henri,Ferrand,"Staples, Inc.",US,2015,0,51,
Kenneth,Cornew,"Steel Dynamics, Inc.",US,2016,0,51,
David,Baum,THE MARCUS CORPORATION,US,2016,0,51,
Michael,Zeisser,Time Inc.,US,2016,0,51,
Laurent,Fischer,"Tobira Therapeutics, Inc.",US,2015,0,51,
Wolney Edirley Goncalves,Betiol,TOTVS SA,Brazil,2016,0,51,
Stephen,Robb,"TrueBlue, Inc.",US,2016,0,51,
Leroy,Williams,UMB Financial Corporation,US,2016,0,51,
Edward,Shapiro,"United Continental Holdings, Inc.",US,2016,0,51,
Scott,Galloway,"Urban Outfitters, Inc.",US,2016,0,51,
Eric W.,Roberts,"VIVUS, Inc.",US,2015,0,51,
Allan Lee,Shaw,"VIVUS, Inc.",US,2015,0,51,
Michael D.,Dean,"Volt Information Sciences, Inc.",US,2015,0,51,
Joseph,Reitmeier,"Watts Water Technologies, Inc.",US,2016,0,51,
Jennifer,Murphy,Western Asset Mortgage Capital Corporation,US,2016,0,51,Yes
David,Wagner,Zix Corporation,US,2016,0,51,
Florence,Parly,Zodiac Aerospace,France,2016,0,51,Yes
Una,Power,Bank Of Nova Scotia,Canada,2016,0,51,Yes
Peter,Arduini,Bristol-Myers Squibb Company,US,2016,0,51,
Renee,James,Citigroup Inc.,US,2016,0,51,Yes
Darren,Woods,Exxon Mobil Corporation,US,2016,0,51,
Jose Luis,Duran Schulz,Industria de Diseno Textil (INDITEX),Spain,2015,0,51,
Beatrice,Guillaume Grabish,L Oreal,France,2016,0,51,Yes
Ton,Buechner,Novartis AG,Switzerland,2016,0,51,
Jeffrey W.,Henderson,QUALCOMM Incorporated,US,2016,0,51,
Juan,Ignacio Cirac Sasturain,Telefonica S.A.,Spain,2016,0,51,
Youngme,Moon,Unilever NV,Netherlands,2016,0,51,Yes
Youngme,Moon,Unilever plc,UK,2016,0,51,Yes
Ross R.,Moody,"National Western Life Group, Inc.",US,1981,34,52,
Ka Kit,Lee,Henderson Land Development Co. Ltd.,Hong Kong,1985,31,52,
Robert,Smith,"Sinclair Broadcast Group, Inc.",US,1986,30,52,
Anthony,Smurfit,Smurfit Kappa Group plc,Ireland,1989,27,52,
Thomas,Straumann,Straumann Holding AG,Switzerland,1990,26,52,
Chris,Aspinwall,Fidessa Group plc,UK,1992,24,52,
Stacey,Page,Hingham Institution for Savings,US,1992,24,52,Yes
J. Tyler,Haahr,"Meta Financial Group, Inc.",US,1992,24,52,
John,Kibarian,"PDF Solutions, Inc.",US,1992,24,52,
Angelo Gino,Moratti,Saras SPA,Italy,1993,23,52,
Jeffrey,Bezos,"Amazon.com, Inc.",US,1994,22,52,
Daniel,Jones,Encore Wire Corporation,US,1994,22,52,
William,Stafford,"First Community Bancshares, Inc.",US,1994,22,52,
Timothy,Crown,"Insight Enterprises, Inc.",US,1994,22,52,
Kirill,Shershun,Moscow Exchange MICEX-RTS PJSC,Russia,1995,21,52,
Olivier,Bremond,Pierre et Vacances,France,1995,21,52,
Rupert,Mucklow,A & J Mucklow Group plc,UK,1995,20,52,
