company,country,averageage,averagetenure,women%,marketcap
HSBC Holdings plc,United Kingdom,60.3,4.1,31.6,126.3
Medtronic plc,USA,60.8,6.3,30.8,123.2
Amgen Inc.,USA,65.2,8,15.4,122.7
Total SA,France,59.3,4.3,50,121.7
British American Tobacco plc,United Kingdom,64.1,5,27.3,119.8
"Gilead Sciences, Inc.",USA,67.9,10,11.1,115.4
BP plc,United Kingdom,62.8,4.8,23.1,113.6
Schlumberger Limited,USA,61.2,6.7,30,110.3
3M Company,USA,64.7,6.1,16.7,110
McDonald's Corporation,USA,60.9,9.4,25,108.5
The Kraft Heinz Company,USA,61.6,2.2,20,108
L Oreal,France,57.3,8.4,46.7,108
Sanofi,France,58.6,5.1,46.2,107.7
GlaxoSmithKline plc,United Kingdom,59,4.5,27.3,106.8
AbbVie Inc.,USA,61,2.7,11.1,106.4
Industria de Diseno Textil (INDITEX),Spain,64.1,9.3,22.2,106
CVS Health Corporation,USA,64,5.6,27.3,104.3
MasterCard Incorporated,USA,59.6,6.5,25,99.2
Commonwealth Bank Of Australia,Australia,62.1,5.1,27.3,98.8
"United Parcel Service, Inc.",USA,61,7.4,27.3,98.2
"NIKE, Inc.",USA,59.5,10.8,23.1,97.5
SAP SE,Germany,59,6.8,22.2,96.8
Allergan plc,USA,62.3,6.7,16.7,95.9
SABMiller plc,United Kingdom,58.2,5.7,21.4,95.4
Royal Bank of Canada,Canada,59.8,6.2,35.7,91.7
Honeywell International Inc.,USA,62.9,8.8,25,90.9
"Walgreens Boots Alliance, Inc.",USA,61.5,6.2,27.3,89.3
Siemens AG,Germany,56.7,5.1,30,88.9
Eli Lilly and Company,USA,61.7,8.8,23.1,88.5
United Technologies Corporation,USA,66.5,9.2,15.4,88.3
Bayer AG,Germany,55.9,5.5,25,85.9
The Boeing Company,USA,61.8,6.6,16.7,84.3
Starbucks Corporation,USA,60,11.9,25,84.1
The Toronto-Dominion Bank,Canada,61.3,4.6,35.7,80.8
QUALCOMM Incorporated,USA,59.3,5.2,8.3,80.4
Vodafone Group plc,United Kingdom,60.1,4.8,25,80.4
Deutsche Telekom AG,Germany,58,5.6,35,80
Unilever NV,Netherlands,57.1,2.6,42.9,79.7
Celgene Corporation,USA,64.8,6.9,33.3,79.7
Union Pacific Corporation,USA,66.5,8,9.1,79
LVMH Moet Hennessy Louis Vuitton,France,60.8,11.8,35.3,78.6
Lockheed Martin Corporation,USA,65.2,8.2,27.3,77.8
Westpac Banking Corporation,Australia,57.4,3.4,22.2,76.4
AstraZeneca plc,United Kingdom,59.6,5.5,33.3,75.3
Reynolds American Inc.,USA,60.5,6,15.4,75
AIA Group Ltd.,Hong Kong,64,3.8,10,74.7
BASF SE,Germany,58.7,10,25,72.9
Costco Wholesale Corporation,USA,69.3,17.8,15.4,72.9
"Lowe's Companies, Inc.",USA,60.7,5.1,27.3,72.4
U.S. Bancorp,USA,59.4,8.7,28.6,72.3
Tata Consultancy Services Ltd.,India,62.3,7.1,9.1,71.7
Accenture plc,USA,60.2,7.8,33.3,71.6
"Mondelez International, Inc.",USA,64.7,5.2,30.8,70.4
Diageo plc,United Kingdom,58.5,4.8,40,70.2
Reckitt Benckiser Group plc,United Kingdom,60.6,6.5,27.3,70
"The Goldman Sachs Group, Inc.",USA,61.1,6.8,15.4,69.5
Daimler AG,Germany,57.6,4.5,25,69.1
"Simon Property Group, Inc.",USA,66.5,12.1,18.2,69
Volkswagen AG (VW),Germany,55.9,4.5,20,68.2
Colgate-Palmolive Company,USA,62.1,8.7,30,66.7
The Priceline Group Inc.,USA,59.7,8.5,20,66
Texas Instruments Incorporated,USA,61,9.6,36.4,65.1
Allianz SE,Germany,59.3,5.4,33.3,64.7
Broadcom Limited,USA,61.6,5.4,10,63.7
"Charter Communications, Inc.",USA,56.7,5,0,63.5
Abbott Laboratories,USA,63.5,9.1,36.4,61.9
Time Warner Inc.,USA,65.1,9.6,18.2,61.8
Thermo Fisher Scientific Inc.,USA,60,8.8,20,61.8
"AMERICAN INTERNATIONAL GROUP, INC.",USA,62.8,4.6,18.8,60.9
Banco Santander S.A.,Spain,61.1,9.4,33.3,60.9
Unilever plc,United Kingdom,57.1,2.6,42.9,60.8
Bank Of Nova Scotia,Canada,58.8,4.8,29.4,60.7
American Express Company,USA,63.5,8.1,23.1,60.7
Chubb Limited,USA,64.5,7.1,17.6,60.2
"Kweichow Moutai Co., Ltd.",China,52,4.3,30,59.5
BNP Paribas SA,France,56.7,5.4,50,59.2
Eni S.p.A.,Italy,54,2.2,33.3,59.2
Occidental Petroleum Corporation,USA,64.9,6.5,27.3,59.1
"NextEra Energy, Inc.",USA,62.3,7.5,25,58.9
E. I. du Pont de Nemours and Company,USA,60.6,6.6,18.2,58.7
The Dow Chemical Company,USA,63.3,8.2,15.4,58.6
Duke Energy Corporation,USA,63.7,5.5,25,58.5
"BlackRock, Inc.",USA,64,8.7,21.1,58.3
Shire plc,United Kingdom,58.1,3.5,30,57.4
Biogen Inc.,USA,61.9,9.3,27.3,57
Itau Unibanco Holding SA,Brazil,57.3,7.1,0,57
Statoil ASA,Norway,54.4,4,50,56.7
Rosneft Oil Company OJSC,Russia,57.4,2.3,0,56.5
Danaher Corporation,USA,64.1,18.5,20,55.7
Gazprom PJSC,Russia,54.3,6.4,0,55.5
Australia and New Zealand Banking Group Ltd.,Australia,60,3.8,25,55.2
"salesforce.com, inc.",USA,63.9,7.5,25,55.1
Morgan Stanley,USA,62.9,4.6,14.3,54.3
National Grid plc,United Kingdom,58.3,3.3,36.4,54.2
EMC Corporation,USA,62.6,7.8,22.2,53.9
Ford Motor Company,USA,62.8,11.9,14.3,53.8
"Twenty-First Century Fox, Inc.",USA,56.6,10.2,7.7,53.5
BMW Group Bayerische Motoren Werke AG,Germany,57.9,9.1,30,53.5
Telstra Corporation Limited,Australia,56.5,4.5,40,53.3
ConocoPhillips,USA,61,6.2,18.2,53.2
Lloyds Banking Group plc,United Kingdom,57.7,3.3,23.1,53.1
Heineken NV,Netherlands,57.8,7.3,27.3,52.9
BT Group plc,United Kingdom,55.6,4,27.3,52.8
National Australia Bank Limited,Australia,57.9,3.9,33.3,52.2
"The TJX Companies, Inc.",USA,61.9,10.3,30,51.4
Imperial Brands PLC,United Kingdom,55.5,5.6,25,50.8
"Shanghai Pudong Development Bank Co., Ltd.",China,53,1.3,6.7,50.7
Singapore Telecommunications Limited,Singapore,58.9,5.3,33.3,50.6
Banco Bradesco S.A.,Brazil,67.4,13.5,12.5,50.5
The Southern Company,USA,64.9,6.7,20,50.3
EXPRESS SCRIPTS HOLDING COMPANY,USA,62.9,8.9,8.3,50.2
American Tower Corporation,USA,62.8,9.7,30,49.7
BHP Billiton Limited,Australia,62.6,4.9,27.3,49.6
Henkel AG & Co. KGaA,Germany,55.5,8.2,24,49.1
Petroleo Brasileiro SA-Petrobras,Brazil,62,1.4,0,49.1
Kimberly-Clark Corporation,USA,64,12.4,18.2,49
Reliance Industries Ltd.,India,66.4,12.6,7.1,48.8
Adobe Systems Incorporated,USA,62.5,13.1,20,48.7
Axa,France,59.2,5.4,43.8,48.7
Telefonica S.A.,Spain,58.6,8.9,11.1,48.6
Canadian National Railway Company,Canada,62.9,10.7,27.3,48
General Motors Company,USA,62.8,3.6,50,47.8
"Dominion Resources, Inc.",USA,62.9,8.6,20,47.8
Danone,France,55.4,6.7,50,47.7
Sberbank of Russia PJSC,Russia,57.5,6.3,13.3,47.4
"PayPal Holdings, Inc.",USA,53.9,0.9,11.1,47.4
Caterpillar Inc.,USA,61.3,7.9,16.7,47.1
"Kinder Morgan, Inc.",USA,67.5,5.6,6.7,46.9
"MetLife, Inc.",USA,63.3,6.8,33.3,46.8
"EOG Resources, Inc.",USA,70.1,10.4,14.3,46.3
Suncor Energy Inc.,Canada,63.5,8.3,33.3,46.2
HDFC Bank Limited,India,58.8,5.6,18.2,46.2
Stryker Corporation,USA,58.8,14.7,22.2,45.7
Monsanto Company,USA,60.1,8.8,23.1,45.3
Airbus Group,Netherlands,61.1,3.8,25,45
ENEL SpA,Italy,60.9,1.6,33.3,44.9
Rio Tinto plc,United Kingdom,61,4.5,25,44.9
ITC Ltd.,India,64.9,7.2,13.3,44.7
McKesson Corporation,USA,63.6,9.2,33.3,44.5
ABB Ltd.,Switzerland,59.5,4.8,18.2,44.3
"Industrial Bank Co., Ltd.",China,55,1.5,7.1,44.1
ASML Holding NV,Netherlands,59.8,3.1,33.3,44.1
Prudential plc,United Kingdom,58.7,5.1,18.8,44.1
Vinci,France,60.4,6.1,40,43.7
Public Storage,USA,61.9,12.8,12.5,43.6
"China Yangtze Power Co., Ltd.",China,53.6,0.7,7.7,43.5
General Dynamics Corporation,USA,64.2,9.4,25,43.4
CK Hutchison Holdings Limited,Hong Kong,71.8,16.4,15.8,43.3
"Automatic Data Processing, Inc.",USA,59.4,5.3,22.2,43.3
FedEx Corporation,USA,59.4,11.5,25,43.1
Orange,France,55.9,4.8,33.3,43.1
Target Corporation,USA,58.4,6.1,35.7,43
"General Mills, Inc.",USA,64.6,9.5,27.3,43
The Bank of New York Mellon Corporation,USA,63.6,6.4,9.1,42.9
"Netflix, Inc.",USA,57.1,10.1,33.3,42.1
Iberdrola S.A.,Spain,58,5.7,35.7,42.1
Bank Of Montreal,Canada,59.9,7.8,33.3,42
ING Groep NV,Netherlands,63.4,3.6,37.5,42
BCE Inc.,Canada,62.5,4.6,21.4,41.8
Aetna Inc.,USA,67.6,11.5,33.3,41.6
Raytheon Company,USA,62.7,6.4,20,41.2
"The PNC Financial Services Group, Inc.",USA,62.6,7.8,30.8,41
Engie,France,55.1,3.6,55,40.8
Hermes International,France,50.5,5.8,36.4,40.7
Fresenius SE & Co KGaA,Germany,62.6,6.5,16.7,40.5
Illinois Tool Works Inc.,USA,59.5,7.9,18.2,40
Northrop Grumman Corporation,USA,65.1,6.2,23.1,40
Continental AG,Germany,58.7,6.6,20,39.8
Phillips 66,USA,64.1,4,25,39.8
Sun Hung Kai Properties Ltd.,Hong Kong,65.3,11.8,5.6,39.5
"Regeneron Pharmaceuticals, Inc.",USA,69.6,19.3,10,39.4
CSL Ltd.,Australia,62.6,6.3,25,39.2
Halliburton Company,USA,63.2,8.7,16.7,39.1
Enbridge Inc.,Canada,66.5,8.5,27.3,38.5
"Banco Bilbao Vizcaya Argentaria, S.A.",Spain,60.6,6.7,20,38.3
Sony Corporation,Japan,69.1,10.7,13.3,37.9
Lukoil PJSC,Russia,66.1,9.2,7.7,37.8
TransCanada Corporation,Canada,62.5,5.8,25,37.6
"Becton, Dickinson and Company",USA,65,9.2,33.3,37.2
Infosys Ltd.,India,56.9,3.2,33.3,36.7
Las Vegas Sands Corp.,USA,69.1,5.5,10,36.7
L Air Liquide,France,58.3,6.2,41.7,36.7
"T-Mobile US, Inc.",USA,55.5,3.7,9.1,36.5
Schneider Electric SE,France,58.2,6,38.5,36.3
Emerson Electric Co.,USA,62.9,8.5,10,36.2
Zurich Insurance Group AG,Switzerland,60,3.9,40,36
Yahoo! Inc.,USA,56,1.5,27.3,35.8
Intesa SanPaolo SPA,Italy,62.5,6.7,22.2,35.8
The Charles Schwab Corporation,USA,67.6,14.1,13.3,35.7
Syngenta AG,Switzerland,59.1,5.3,37.5,35.7
"YUM! Brands, Inc.",USA,57.9,5.7,16.7,35.6
Ecolab Inc.,USA,59.7,7.9,26.7,35.5
Glencore plc,United Kingdom,64.8,5,12.5,35.4
"Anthem, Inc.",USA,64.9,7.8,22.2,35.3
"SAIC Motor Corp., Ltd.",China,59.1,1,0,35.2
Cognizant Technology Solutions Corporation,USA,63.3,8.6,9.1,35
Canadian Natural Resources Limited,Canada,64.7,10.8,18.2,34.9
Wesfarmers Ltd.,Australia,57.2,6.5,30,34.9
The Estee Lauder Companies Inc.,USA,59.6,13.9,46.7,34.9
Capital One Financial Corporation,USA,62.2,10,18.2,34.9
Brookfield Asset Management Inc.,Canada,64.4,12.4,25,34.9
The Kroger Co.,USA,62.4,10.9,36.4,34.8
"The Travelers Companies, Inc.",USA,64.6,10.1,21.4,34.7
"Marsh & McLennan Companies, Inc.",USA,63,6.8,18.2,34.7
Deutsche Post AG,Germany,59.7,6.8,40,34.6
CME Group Inc.,USA,62.1,9.9,10.3,34.5
Nokia Corp.,Finland,56.7,2.9,22.2,34.5
Nordea Bank AB,Sweden,56.5,6,38.5,34.4
"American Electric Power Company, Inc.",USA,62.2,6.3,25,34.2
Korea Electric Power Corp.,South Korea,60.8,1.8,0,34
"Praxair, Inc.",USA,65.7,9.3,18.2,33.9
Crown Castle International Corp.,USA,61,11.3,8.3,33.8
Cigna Corporation,USA,61.3,8.6,27.3,33.8
Barclays plc,United Kingdom,60.1,2.8,25,33.7
Exelon Corporation,USA,62.2,6.1,23.1,33.6
Carnival Corporation,USA,65,13.8,22.2,33.3
LyondellBasell Industries NV,USA,62.8,4.3,25,33.2
"Prudential Financial, Inc.",USA,61.8,6.6,23.1,33.2
Hang Seng Bank,Hong Kong,60.4,7.9,22.2,33.1
BOC Hong Kong (Holdings) Ltd.,Hong Kong,56.4,4.5,10,33.1
Hewlett Packard Enterprise Company,USA,57.9,0.9,35.7,32.9
"CONSTELLATION BRANDS, INC.",USA,60.1,12.3,10,32.8
Atlas Copco AB,Sweden,56.6,8.5,27.3,32.8
Monster Beverage Corporation,USA,66.6,16,10,32.8
"Tesla Motors, Inc.",USA,47.4,8.3,14.3,32.5
"Air Products and Chemicals, Inc.",USA,62.5,4.4,25,32.3
Thomson Reuters Corporation,Canada,61.8,8.3,15.4,32.2
Housing Development Finance Corp. Ltd.,India,72.6,20.3,9.1,32.1
PG&E Corporation,USA,65.4,7.8,25,32.1
MTR Corporation Ltd,Hong Kong,63.5,3.6,21.1,32
Boston Scientific Corporation,USA,56.8,3,40,32
Compass Group plc,United Kingdom,54.8,4.6,27.3,31.6
Novatek OAO,Russia,62.8,6.1,0,31.5
Swiss Reinsurance (Schweizerische Rueckversicherungs),Switzerland,62.3,5.8,27.3,31.4
"Intercontinental Exchange, Inc.",USA,63.4,11.5,12.5,31.3
"Activision Blizzard, Inc.",USA,59.7,9.8,11.1,31.2
"HCA Holdings, Inc.",USA,61.3,4.8,16.7,30.8
S&P Global Inc.,USA,64.6,8.5,20,30.6
Adidas AG,Germany,57,7.4,31.3,30.5
Aflac Incorporated,USA,62.9,12.7,15.4,30.4
BB&T Corporation,USA,64.8,6.6,22.2,30.4
Hindustan Unilever Limited.,India,60.2,6.8,11.1,30.3
eBay Inc.,USA,57.6,6.2,18.2,30.3
DBS Group Holdings Ltd.,Singapore,61.1,6,22.2,30.2
Kellogg Company,USA,60,5.8,41.7,30.1
Christian Dior,France,58.1,13.8,33.3,30
Coal India Ltd.,India,57.3,2.6,14.3,30
"Waste Management, Inc.",USA,64.2,8.9,20,30
"Delta Air Lines, Inc.",USA,61.6,4.9,14.3,29.9
Canadian Imperial Bank Of Commerce,Canada,60.1,6.9,35.3,29.9
Hong Kong Exchanges and Clearing Ltd,Hong Kong,59.8,5.7,15.4,29.8
Intuit Inc.,USA,57.4,9.5,37.5,29.4
Essilor International,France,56.9,5.9,35.7,29.4
Associated British Foods plc,United Kingdom,60,8,22.2,29.4
Aon plc,USA,65.6,11.9,27.3,29.4
Sysco Corporation,USA,67.2,10.6,25,29.3
Oil & Natural Gas Corporation Ltd.,India,55.3,1,11.1,29.3
Pernod Ricard,France,49.9,4.1,28.6,29.3
Liberty Global plc,USA,68.9,9.5,9.1,29.3
Eaton Corporation plc,USA,62.6,9.5,21.4,29.2
"PPG Industries, Inc.",USA,62.3,9.6,20,29.1
Safran,France,59.7,3.1,29.4,28.9
"Applied Materials, Inc.",USA,58.4,6.9,18.2,28.7
WPP plc,United Kingdom,58.8,7,30.8,28.4
THE SHERWIN-WILLIAMS COMPANY,USA,60.4,6.8,18.2,28.3
Sempra Energy,USA,65.9,9.1,27.3,28.2
NVIDIA Corporation,USA,62,13.1,16.7,28.1
"Johnson Controls, Inc.",USA,58.8,8.3,20,28.1
"Alexion Pharmaceuticals, Inc.",USA,61.9,7.4,18.2,28.1
Anadarko Petroleum Corporation,USA,59,6.5,9.1,28.1
BHP Billiton plc,United Kingdom,62.6,4.9,27.3,28
Sands China Ltd.,Hong Kong,64.4,3.6,14.3,27.9
Oversea-Chinese Banking Corporation Limited,Singapore,63,5,10,27.8
Sun Pharmaceutical Industries Ltd.,India,66.3,13.2,11.1,27.6
Southwest Airlines Co.,USA,66.2,7.8,27.3,27.6
"General Growth Properties, Inc.",USA,55.2,5.2,11.1,27.4
"Midea Group Co., Ltd.",China,45.7,2.6,18.2,27.4
Welltower Inc.,USA,64.4,9.1,20,27.3
Societe Generale,France,58.1,4.1,50,27.1
LafargeHolcim Ltd.,Switzerland,59.8,5.9,7.1,27.1
Imperial Oil Limited,Canada,64.1,9.1,28.6,27.1
Norfolk Southern Corporation,USA,60,5.9,9.1,27.1
CSX Corporation,USA,65.3,9.3,16.7,27
"Prologis, Inc.",USA,63.8,9.3,20,27
Manulife Financial Corporation,Canada,63.5,6.4,33.3,26.9
"Cardinal Health, Inc.",USA,62.3,4.9,36.4,26.8
Fresenius Medical Care AG & Co. KGaA,Germany,65.2,8.8,33.3,26.8
V.F. Corporation,USA,59,8.3,16.7,26.7
Pioneer Natural Resources Company,USA,61.2,5.7,23.1,26.5
Muenchener Rueckversicherungs-Gesellschaft AG,Germany,62.6,6.2,40,26.4
"O'Reilly Automotive, Inc.",USA,70.2,27,11.1,26.4
Linde AG,Germany,58,7.1,25,26.4
"Equinix, Inc.",USA,60.4,8.2,10,26.4
"Tyson Foods, Inc.",USA,60.6,10.3,22.2,26.3
Deere & Company,USA,61.5,6.4,27.3,26.2
CLP Holdings Ltd.,Hong Kong,63.9,10.6,20,26.2
Cheung Kong Property Holdings Ltd.,Hong Kong,68.3,1,21.4,26.1
Standard Chartered plc,United Kingdom,59.7,3,21.4,26.1
Dollar General Corporation,USA,58.6,5,37.5,26
The Allstate Corporation,USA,61.9,6.4,30,26
Great-West Lifeco Inc.,Canada,63.2,7,20,26
Mitsubishi Electric Corp.,Japan,69.2,11.3,0,25.9
Telefonaktiebolaget LM Ericsson,Sweden,54,4.8,46.2,25.9
Spectra Energy Corp,USA,63.9,6.7,18.2,25.9
Baxter International Inc.,USA,63.8,8.4,16.7,25.8
Archer-Daniels-Midland Company,USA,59.8,7.2,16.7,25.8
LinkedIn Corporation,USA,56.6,7.9,14.3,25.8
Danske Bank A/S,Denmark,52.9,3.6,25,25.8
Hyundai Motor Co.,South Korea,57,5,0,25.8
A.P. Moeller - Maersk A/S,Denmark,54.9,7.4,25,25.7
Vale S.A.,Brazil,57.5,3.5,0,25.6
Unibail-Rodmaco SE,France,54.8,5.2,40,25.5
"Intuitive Surgical, Inc.",USA,62.7,8,11.1,25.5
CBS Corporation,USA,75.5,13,15.4,25.4
Equity Residential,USA,62.2,11.5,23.1,25.4
Swisscom AG,Switzerland,54.7,3.7,33.3,25.4
Alimentation Couche-Tard Inc.,Canada,54.6,13.8,27.3,25.4
Telenor ASA,Norway,58.8,4.3,45.5,25.3
Investor AB,Sweden,58.4,6.1,36.4,25.3
"Ventas, Inc.",USA,61,7.9,22.2,25.2
PPL Corporation,USA,61.4,7.1,11.1,25.1
Edison International,USA,62.6,5.8,30,25.1
"AvalonBay Communities, Inc.",USA,62.1,7.6,11.1,25.1
"Zimmer Biomet Holdings, Inc.",USA,57.5,5.9,16.7,25
"Fidelity National Information Services, Inc.",USA,63.7,7.6,9.1,25
Barrick Gold Corporation,Canada,61.5,5.3,14.3,24.9
Cielo SA,Brazil,51.8,4.7,0,24.9
Renault,France,59.8,6.5,31.6,24.8
Electricite de France,France,55.9,3.9,33.3,24.7
Zoetis Inc.,USA,62.4,2.7,9.1,24.7
Vivendi,France,50.5,3,42.9,24.6
"Fiserv, Inc.",USA,59.4,8.8,18.2,24.5
Koninklijke Philips N.V.,Netherlands,64.1,6,37.5,24.5
Credit agricole SA,France,57.9,4,33.3,24.4
DISH Network Corporation,USA,59.9,14.9,10,24.3
Luxottica Group S.p.A.,Italy,57.3,7.2,28.6,24.1
CRH plc,United Kingdom,59.2,3.8,30.8,24.1
"Consolidated Edison, Inc.",USA,64.9,10,20,24
Weyerhaeuser Company,USA,60.3,6.6,23.1,23.9
HP Inc.,USA,58.4,2.2,38.5,23.7
Humana Inc.,USA,58.3,10.3,10,23.7
Discover Financial Services,USA,61.2,7.5,25,23.7
Steinhoff International Holdings N.V.,Netherlands,56.3,6.9,18.2,23.6
Hilton Worldwide Holdings Inc.,USA,57.8,6.3,25,23.5
Credit Suisse Group AG,Switzerland,56.8,5.4,23.1,23.5
The Hershey Company,USA,63.1,7,18.2,23.5
Tata Motors Ltd.,India,61.4,6.1,10,23.5
Svenska Handelsbanken AB,Sweden,54.7,6.8,45.5,23.5
Valero Energy Corporation,USA,63.8,8,22.2,23.5
Electronic Arts Inc.,USA,54.8,8.5,20,23.5
Synchrony Financial,USA,60.2,1.4,33.3,23.4
Beiersdorf AG,Germany,56.2,6.8,25,23.4
"AutoZone, Inc.",USA,59,9.3,18.2,23.4
"Ross Stores, Inc.",USA,61,12.9,18.2,23.2
The Hong Kong and China Gas Co. Ltd.,Hong Kong,67.8,23.3,0,23.2
Cheung Kong Infrastructure Holdings Ltd,Hong Kong,66.8,15.9,25,23.2
Public Service Enterprise Group Incorporated,USA,65.8,10.4,18.2,23.2
MMC Norilsk Nickel PJSC,Russia,44.1,4.5,7.7,23.2
Mylan N.V.,USA,59.5,9.2,30.8,23.1
"Ping An Bank Co., Ltd.",China,53,1.9,21.4,23
ICICI Bank Limited,India,60,4.7,15.4,23
Corning Incorporated,USA,62.2,7.5,23.1,23
"Hangzhou Hikvision Digital Technology Co., Ltd.",China,52.3,1.9,0,23
Swedbank AB,Sweden,55.4,5,45.5,22.9
"St. Jude Medical, Inc.",USA,62.1,11.6,25,22.9
Telefonica Brasil S.A.,Brazil,62.5,6.2,0,22.7
Hyundai Mobis Co.,South Korea,58.8,2.8,0,22.7
BAE Systems plc,United Kingdom,57.5,3.8,27.3,22.6
Bharti Airtel Ltd.,India,54,6.1,23.1,22.5
State Street Corporation,USA,63,9.6,27.3,22.5
Svenska Cellulosa Ab (Sca),Sweden,53.8,3.9,41.7,22.5
United Overseas Bank Limited,Singapore,65.4,13.9,11.1,22.5
Compagnie de Saint Gobain,France,58.8,5.8,31.3,22.4
Vertex Pharmaceuticals Incorporated,USA,59.3,9.8,33.3,22.3
Edwards Lifesciences Corporation,USA,65,5.6,12.5,22.3
Newell Brands Inc.,USA,63.4,10.6,0,22.2
"Dollar Tree, Inc.",USA,67.8,13.7,9.1,22.2
ARM Holdings plc,United Kingdom,56.7,4.8,20,22.2
Xcel Energy Inc.,USA,61.1,8.5,27.3,22.2
Loblaw Companies Limited,Canada,63.8,5.8,38.5,22.2
Samsung C&T Corp.,South Korea,57.9,1.7,0,22.2
Volvo AB,Sweden,59.1,3.1,28.6,22.1
Banco Santander Brasil SA,Brazil,57.5,1.5,20,22.1
Larsen & Toubro Ltd,India,63,4.6,5.6,22
"Paychex, Inc.",USA,64.4,14.6,11.1,22
Newmont Mining Corporation,USA,62.1,6.6,30,21.9
"Illumina, Inc.",USA,59.9,8.1,25,21.9
"SunTrust Banks, Inc.",USA,61.9,5.6,18.2,21.8
AmorePacific Corp.,South Korea,54.9,3.9,12.5,21.8
Apache Corporation,USA,59.1,6.7,18.2,21.6
TE Connectivity Ltd.,USA,59.6,5.3,16.7,21.5
Rogers Communications Inc.,Canada,60.2,12.7,33.3,21.4
Kering,France,51,7.5,63.6,21.4
Endesa S.A.,Spain,61.9,3.4,9.1,21.3
Hitachi Ltd.,Japan,72.6,8.7,8.3,21.3
Canadian Pacific Railway Limited,USA,58.9,2.7,22.2,21.3
SSE plc,United Kingdom,56.2,5.9,33.3,21.2
Molson Coors Brewing Company,USA,56.7,6.1,14.3,21.2
Kotak Mahindra Bank Ltd,India,59.6,10.4,11.1,21.1
"Wuliangye Yibin Co., Ltd.",China,55.6,1.7,14.3,21
E.ON SE,Germany,60.9,2.5,22.2,21
"ConAgra Foods, Inc.",USA,62.7,6.1,16.7,20.9
SK Hynix Inc.,South Korea,55.6,3,0,20.9
"Boston Properties, Inc.",USA,63.9,7.8,18.2,20.9
Woolworths Ltd.,Australia,58.8,2.8,33.3,20.9
Henderson Land Development Co. Ltd.,Hong Kong,66.6,21.9,11.1,20.8
Scentre Group,Australia,57.6,6.6,37.5,20.8
Telia Company AB,Sweden,52.7,3.1,45.5,20.8
KBC Groep NV,Belgium,55.5,6.7,31.3,20.8
NAVER Corp.,South Korea,49,6.3,0,20.8
American Airlines Group Inc.,USA,61.3,3.7,15.4,20.8
AENA S.A.,Spain,57.7,1.3,26.7,20.7
Sirius XM Holdings Inc.,USA,57.3,6.3,16.7,20.6
Aviva plc,United Kingdom,57.5,3.1,23.1,20.6
Campbell Soup Company,USA,63.3,11.2,33.3,20.6
Atlantia SPA,Italy,56.9,5.3,26.7,20.6
Cerner Corporation,USA,69,17.8,11.1,20.5
Southern Copper Corporation,USA,64,12,0,20.4
WIPRO Limited,India,62.2,9.9,7.7,20.4
"Franklin Resources, Inc.",USA,60.8,9.8,20,20.3
"Level 3 Communications, Inc.",USA,62.7,4.5,9.1,20.3
Cummins Inc.,USA,62,9.2,20,20.3
RELX plc,United Kingdom,58.9,4.1,30,20.2
Snam SpA,Italy,56.1,3.1,33.3,20.2
