Company,Country,Board size,Average age,Average tenure,# Over life expectancy,# Women,Market cap ($m)
Epsilon Energy Ltd.,Canada,6,49.5,2.5,0,0,115.95
CTI BioPharma Corp.,US,7,65.1,13.7,1,0,116.43
"Bonanza Creek Energy, Inc.",US,6,59,4.5,0,0,116.61
"P.A.M. Transportation Services, Inc.",US,8,62.5,13.3,1,0,116.75
BTB Real Estate Investment Trust,Canada,9,63.1,6.8,0,2,117.32
Transgene,France,10,61.1,11.4,0,2,117.56
"Bravo Brio Restaurant Group, Inc.",US,7,61.9,9.4,0,0,117.86
Quantum Corporation,US,9,54.8,3,0,0,118.25
"Harvard Bioscience, Inc.",US,8,59.9,9,0,0,119.92
Street Capital Group Inc.,Canada,8,62.7,6,0,1,120.6
"VIVUS, Inc.",US,8,53.8,1.3,0,0,120.74
Newalta Corporation,Canada,9,57,6.7,0,1,120.76
City of London Investment Group plc,UK,9,61.4,7.3,0,1,121.93
"Ciber, Inc.",US,6,60.7,9.5,0,0,122.63
L.B. Foster Company,US,8,58.3,9.4,0,2,122.77
"Papa Murphy's Holdings, Inc.",US,9,55.1,4.3,0,1,122.81
CDI Corp.,US,9,68.7,20.1,1,1,123.27
Uranium Energy Corp.,US,6,66.3,7.2,1,0,123.4
"Trovagene, Inc.",US,6,66,6,0,0,123.93
TransGlobe Energy Corporation,Canada,8,62.1,9.6,0,1,124.19
Cloud Peak Energy Inc.,US,6,62.5,5.3,0,0,124.37
"Skullcandy, Inc.",US,7,49.9,7.1,0,1,124.53
"Volt Information Sciences, Inc.",US,9,60.7,3.2,0,2,126.24
5N Plus Inc.,Canada,6,57,2.5,0,2,129.83
PHarol SGPS SA,Portugal,11,54.6,1.9,0,1,129.84
Delphi Energy Corp,Canada,6,65,13.5,0,0,130.47
"KVH Industries, Inc.",US,6,64.8,21.7,0,0,130.51
Energy Fuels Inc.,Canada,9,59.1,4.3,0,0,130.68
Solocal Group,France,8,55.6,3.8,0,3,131.17
"Black Diamond, Inc.",US,5,64.8,11.6,0,0,131.72
"Sequenom, Inc.",US,9,59.4,4.4,0,2,132.33
Internap Corporation,US,6,63.7,9.7,0,2,132.42
Chesswood Group Limited,Canada,7,80,6.4,0,0,133.3
Walter Investment Management Corp.,US,9,62.4,5.2,0,1,134.03
"Orion Marine Group, Inc.",US,6,66.5,7.7,0,0,134.05
Clarke Inc.,Canada,5,46,3.6,0,0,134.63
"Cutera, Inc.",US,8,60.8,9.6,0,0,135.01
Renold plc,UK,5,57.4,4.4,0,0,135.06
