Company,Country,Board size,Average age,Average tenure,# Over life expectancy,# Women,Market cap ($m)
"Greif, Inc.",US,10,61.9,11.8,0,2,2119.26
Covanta Holding Corporation,US,10,62.1,11.4,0,2,2119.84
Reliance Infrastructure Ltd.,India,7,63,5.4,3,1,2120.19
Cineworld Group plc,UK,9,63.8,4.8,0,3,2120.74
Hudson's Bay Company,Canada,11,58.4,4,0,2,2121.3
MGIC Investment Corporation,US,11,63.8,7.9,0,1,2122.16
Eurocommercial Properties NV,Netherlands,6,65.5,2.3,0,1,2123.28
PZ Cussons plc,UK,8,54.6,6.3,0,3,2125.09
Dynegy Inc.,US,7,58.1,4.1,0,1,2127.43
MicroStrategy Incorporated,US,5,55.4,13,0,0,2128.68
Amaya Inc.,Canada,6,56,5,0,0,2128.72
Hyundai WIA Corp.,South Korea,7,58.3,2,0,0,2131.51
Daewoo Engineering & Construction Co.,South Korea,7,60.1,1.9,0,0,2132.54
Societa Iniziative Autostradali e Servizi SpA (SIAS),Italy,15,54.9,5.7,0,4,2136.89
Reliance Power Ltd.,India,6,63.2,4.7,2,1,2137.47
Northern Star Resources Ltd,Australia,4,59.5,6.5,0,0,2137.65
TOMTOM NV,Netherlands,6,60.2,5,0,2,2138.27
"Selective Insurance Group, Inc.",US,12,64.6,13.1,0,1,2140.34
Crest Nicholson Holdings plc,UK,6,55.3,6,0,2,2141.25
"Knight Transportation, Inc.",US,10,61.9,11,0,2,2142.4
Wienerberger AG,Austria,11,56.9,6.4,0,4,2143.66
Manitoba Telecom Services Inc.,Canada,10,61.4,9,0,4,2148.36
Platform Specialty Products Corporation,US,7,53,2.6,0,0,2148.66
"Myriad Genetics, Inc.",US,7,65,8.9,1,1,2149.74
"Care Capital Properties, Inc.",US,7,63.3,1,0,1,2150.65
"United Natural Foods, Inc.",US,8,58.6,8.3,0,3,2158.81
Drillisch AG,Germany,6,57.2,5.7,0,1,2158.9
Chemed Corporation,US,10,69.8,19.8,1,1,2159.06
Hotel Shilla Co.,South Korea,7,55.9,4.7,0,1,2159.58
Qube Holdings Limited,Australia,8,70,3.8,0,0,2159.78
Boardwalk Real Estate Investment Trust,Canada,7,54,10.1,0,2,2160.48
"Kennedy-Wilson Holdings, Inc.",US,7,68.4,13.7,0,1,2161.24
"Bloomin' Brands, Inc.",US,8,56.8,7.1,0,3,2163.73
LPL Financial Holdings Inc.,US,9,59.9,5.9,0,2,2170.08
Kosmos Energy Ltd.,US,10,56.6,3.5,0,0,2172.41
National Bank of Greece SA,Greece,12,58.2,2.2,0,3,2172.45
Swift Transportation Company,US,6,65.3,5.7,0,0,2173.68
Rexnord Corporation,US,8,57.3,2.5,0,1,2176.75
Localiza Rent A Car S.A.,Brazil,8,61.6,14.4,0,1,2177.27
Amplifon S.p.A.,Italy,9,62,7.8,1,3,2180.91
Moelis & Company,US,8,54.6,1.8,0,1,2182.62
Autogrill Spa,Italy,13,59.6,6.9,0,1,2182.75
Joy Global Inc.,US,9,65.2,11.1,1,0,2183.56
Noble Corporation plc,US,8,59.1,10.1,0,2,2184.06
"NetScout Systems, Inc.",US,8,62.4,11.5,0,0,2184.55
"INC Research Holdings, Inc.",US,8,57.3,5.4,0,0,2185.13
"EastGroup Properties, Inc.",US,9,67.8,17.8,2,1,2186.4
TMX Group Limited,Canada,18,59.5,3.3,0,5,2186.81
"Washington Federal, Inc.",US,7,62.1,10.3,0,2,2189.31
"MKS INSTRUMENTS, INC.",US,8,67.5,15.4,0,2,2196.33
NorthStar Asset Management Group Inc.,US,7,56.3,1,0,1,2196.86
"Hanwha Techwin Co., Ltd.",South Korea,5,60.6,4,0,0,2198.3
Elis,France,9,50.9,3.2,0,3,2199.19
Credito Emiliano S.p.A. (Credem),Italy,12,62.8,13,0,2,2200.77
Kite Realty Group Trust,US,9,61.1,4.8,0,1,2200.82
Washington Real Estate Investment Trust,US,8,62,6.4,0,1,2201.67
"Diplomat Pharmacy, Inc.",US,7,56.3,5.4,0,1,2204.96
"First Financial Bankshares, Inc.",US,11,61.4,10.2,0,1,2207.63
Buwog AG,Austria,9,46.3,0.9,0,2,2208.91
Redrow plc,UK,7,58.9,4.9,0,3,2209.71
"Armstrong World Industries, Inc.",US,12,60.2,5.4,0,0,2214.25
Imperial Holdings Ltd,South Africa,15,57.3,6.2,4,2,2215.77
Zynga Inc.,US,7,56.1,3.6,0,2,2219.15
Verint Systems Inc.,US,7,65.6,9.6,0,0,2222.96
Carsales.com Ltd.,Australia,6,58.7,11.3,0,1,2223.59
HomeServe plc,UK,7,51.6,6.9,0,1,2223.68
The Navigator Company SA,Portugal,14,54.7,5.9,0,0,2224.47
Acron JSC,Russia,10,57.3,4.1,1,0,2225.39
"Texas Capital Bancshares, Inc.",US,12,63.3,7.9,0,2,2226.38
Tarkett,France,9,59.8,7.1,0,2,2229.04
Iren SPA,Italy,13,56,3.4,0,3,2236.01
Summit Materials Inc.,US,7,53.6,5.1,0,2,2238.49
Cousins Properties Incorporated,US,8,61.8,7.6,0,2,2239.74
Allied Properties Real Estate Investment Trust,Canada,8,67.6,9.9,0,1,2240.58
Nexans,France,12,56.7,5.4,0,5,2242
National General Holdings Corp.,US,7,61.9,4.1,0,1,2242.21
"Daewoo Securities Co., Ltd.",South Korea,5,62.2,1,0,0,2243.51
"Nu Skin Enterprises, Inc.",US,8,65.6,10.1,0,1,2244.98
Synaptics Incorporated,US,8,61.8,12.8,1,0,2246.71
Select Income REIT,US,5,62,4.4,0,1,2246.86
ANSALDO STS S.P.A.,Italy,9,57.9,2,0,3,2250
"Carrizo Oil & Gas, Inc.",US,7,66.1,16,0,0,2252.38
Pick n Pay Stores Ltd,South Africa,13,57.8,9.1,3,3,2255.77
Delta Lloyd NV,Netherlands,8,58.3,4.1,0,2,2258.1
Virgin Money Holdings (UK) plc,UK,8,59.6,5.9,0,3,2258.26
Indivior plc,UK,10,57,2,0,2,2259.07
TransAlta Renewables Inc.,Canada,6,59.5,3,0,2,2260.03
CompuGroup Medical SE,Germany,6,51,5.5,0,0,2261.82
Balfour Beatty plc,UK,8,61.6,2.8,0,1,2262.35
Rowan Companies plc,US,9,65,5.6,0,1,2264.67
"Coherent, Inc.",US,7,60.7,8.7,0,1,2264.95
Tod's SPA,Italy,14,57.4,10.1,0,3,2269.89
Lexington Realty Trust,US,8,62.3,10.1,0,1,2270.3
Impala Platinum Holdings Ltd,South Africa,14,54.3,2.6,4,5,2270.85
Immofinanz AG,Austria,9,51.9,3.2,0,1,2271.53
Meredith Corporation,US,9,65.1,15.4,0,3,2273.61
Oesterreichische Post AG,Austria,12,55.7,6.9,0,4,2273.97
Domino's Pizza Group plc,UK,7,61.6,7.7,0,1,2276.32
"Fairchild Semiconductor International, Inc.",US,9,65.1,8.8,0,1,2276.81
"Tootsie Roll Industries, Inc.",US,4,71.3,21.8,1,3,2278.09
"Big Lots, Inc.",US,9,59.2,5.2,0,4,2281.7
"Clear Channel Outdoor Holdings, Inc.",US,8,49.8,5.8,0,1,2281.81
Trinseo S.A.,US,9,51,2.7,0,0,2283.5
Metropole Television M6,France,12,55.6,6.4,0,5,2287.17
"Media General, Inc.",US,11,60.5,6.4,0,2,2288.97
Cominar Real Estate Investment Trust,Canada,10,65,8.8,1,3,2290.83
Toromont Industries Ltd.,Canada,10,65.2,14.1,0,2,2291.75
NH Investment & Securities Co. Ltd.,South Korea,7,59.3,1.7,0,0,2292.24
"Cirrus Logic, Inc.",US,8,57.6,5,0,1,2292.35
EDP - Energias Do Brasil SA,Brazil,8,63.5,5.6,1,0,2295.02
Axiall Corporation,US,10,62.5,5.5,0,1,2296.2
Hyundai Marine & Fire Insurance Co. Ltd.,South Korea,9,56.9,3,0,1,2297.4
Moneysupermarket.com Group plc,UK,8,54.6,4,0,2,2299.28
Essentra plc,UK,7,60.3,3,0,1,2299.3
Artisan Partners Asset Management Inc.,US,7,54.3,3.4,0,1,2300.54
Terex Corporation,US,10,63.4,11.2,0,1,2301.94
Cathay General Bancorp,US,12,69.9,17.8,1,1,2303.82
Domtar Corporation,US,12,61.4,5.9,0,3,2310.02
Stifel Financial Corp.,US,18,64.6,9.8,0,0,2311.9
Unipol Gruppo Finanziario SpA,Italy,25,60.9,7.2,0,5,2313.69
UniFirst Corporation,US,7,72,19.3,2,2,2314.44
Pan American Silver Corp.,Canada,8,60.8,7,0,1,2315.08
"Cornerstone OnDemand, Inc.",US,7,54.4,7.4,0,1,2316.02
TCF Financial Corporation,US,15,64.5,8.2,0,2,2316.03
Sixt SE,Germany,3,60.3,7,0,0,2316.43
Flughafen Wien AG,Austria,15,53.5,4.5,0,1,2316.75
AVX Corporation,US,9,66.3,8.2,1,0,2317.19
Mentor Graphics Corporation,US,8,64.1,8.6,0,0,2320.44
Bechtle AG,Germany,12,56.8,8,0,4,2322.21
Valley National Bancorp,US,13,63.8,16.2,0,2,2322.52
Mirae Asset Securities Co.,South Korea,7,57.1,6.4,0,0,2329.79
"Dril-Quip, Inc.",US,5,57.8,6.8,0,0,2332.08
"Owens & Minor, Inc.",US,11,62.9,9.4,0,2,2334.06
Distell Group Ltd,South Africa,14,57.4,9.3,6,3,2334.37
"Globus Medical, Inc.",US,7,53.9,8.6,0,1,2338.74
Telkom SA SOC Limited,South Africa,14,50.4,2.4,0,6,2341.19
Ultragenyx Pharmaceutical Inc.,US,6,56.2,1.8,0,0,2341.62
"Empire State Realty Trust, Inc.",US,7,59.7,3,0,1,2342.33
"Lexmark International, Inc.",US,12,68.6,12.6,2,2,2342.8
AA plc,UK,7,56.1,1,0,0,2343.52
MMI Holdings Ltd,South Africa,15,56.5,7.3,3,2,2345.01
IMA S.p.A. (Industria Macchine Automatiche),Italy,13,54.3,13.5,0,3,2345.52
National Express Group plc,UK,11,55.3,3.6,0,2,2350.03
Lotte Confectionery Co.,South Korea,9,58.1,3.2,0,0,2351.24
H.B. Fuller Company,US,9,60.6,9.4,0,2,2353.37
Ligand Pharmaceuticals Incorporated,US,7,54.3,8.6,0,0,2354.19
Lundin Mining Corporation,Canada,8,62.9,10.8,0,1,2360.61
Rural Electrification Corporation Ltd.,India,4,56.3,3.5,0,0,2360.9
Sembcorp Marine Ltd.,Singapore,10,61.1,6.4,0,1,2361.41
Radian Group Inc.,US,10,65.6,11.5,0,1,2367.69
Samsung Securities Co. Ltd.,South Korea,7,58.4,1.4,0,0,2370.28
NorthStar Realty Finance Corp.,US,5,57.6,8.8,0,1,2375.58
Fulton Financial Corporation,US,11,62.3,6.6,0,2,2376.48
Algonquin Power & Utilities Corp.,Canada,8,59,4.5,0,2,2378.17
The Spar Group Ltd,South Africa,10,57.9,7.9,3,2,2383.09
"WESCO International, Inc.",US,8,59.3,8.8,0,2,2384.86
Hanwha Corporation,South Korea,9,59,1.8,0,0,2392.48
PBF Energy Inc.,US,10,68.8,2.5,0,1,2392.62
"South Jersey Industries, Inc.",US,10,60.1,8.2,0,3,2393.01
GrubHub Inc.,US,9,44.9,2.3,0,1,2393.27
"MacDonald, Dettwiler and Associates Ltd.",Canada,7,64,10,0,1,2393.5
"Impax Laboratories, Inc.",US,7,63.7,7.9,0,2,2393.8
Liberty Holdings Ltd,South Africa,13,55.1,6,1,2,2393.83
Whitecap Resources Inc.,Canada,7,59.4,5.4,0,0,2393.9
CACI International Inc,US,10,69.6,13.1,1,0,2401.51
Pioneer Food Group Ltd,South Africa,13,53.1,4.5,4,2,2402.39
"Papa John's International, Inc.",US,7,53.3,8,0,3,2405.47
Mack-Cali Realty Corporation,US,9,70.2,14.8,0,0,2406.8
"Five Below, Inc.",US,9,56.9,5.3,0,2,2407.36
Intrum Justitia AB,Sweden,8,56.1,3.1,0,3,2408.14
The Cheesecake Factory Incorporated,US,7,70.1,9.1,1,0,2409.04
Allegiant Travel Company,US,6,58.2,7.2,0,1,2410.63
WebMD Health Corp.,US,10,65.5,7.4,0,1,2411.62
Flight Centre Travel Group Ltd,Australia,5,55.3,8.4,0,1,2414.07
Yangzijiang Shipbuilding (Holdings) Ltd.,Singapore,4,59.3,6.3,0,0,2418.04
"Allscripts Healthcare Solutions, Inc.",US,8,59.3,2,0,0,2420.7
"Cree, Inc.",US,9,56,6.3,0,1,2426.34
Bolsas y Mercados Espanoles S.A.,Spain,12,63.4,7.5,1,2,2426.77
"ACI Worldwide, Inc.",US,8,64.5,4.4,0,0,2426.84
Bluescope Steel Ltd.,Australia,8,54.9,4.1,0,2,2428.22
Daelim Industrial Co.,South Korea,11,57.4,1.7,0,0,2431.86
BNK Financial Group Inc.,South Korea,7,59.3,1.3,0,0,2432.19
Genworth MI Canada Inc.,Canada,9,54.9,4,0,2,2436.87
Acadia Realty Trust,US,8,66.6,10.3,0,2,2439.64
Gerresheimer AG,Germany,12,53.3,4.8,0,4,2439.78
Eurobank Ergasias SA,Greece,12,57.8,1.3,0,1,2443.95
"BGC Partners, Inc.",US,6,68.3,8.7,1,1,2449.91
"Worthington Industries, Inc.",US,10,63.5,13.3,0,2,2454.3
ASM International NV,Netherlands,4,66.3,7.8,0,0,2458.78
"Laredo Petroleum, Inc.",US,9,60.4,7.4,0,1,2460.89
Louisiana-Pacific Corporation,US,9,65.3,10,0,2,2465.28
Visteon Corporation,US,10,61,3,0,1,2465.35
"Paycom Software, Inc.",US,7,53.6,6.4,0,0,2467.77
"Zendesk, Inc.",US,7,49.9,4.1,0,3,2474.31
Virgin America Inc.,US,11,58.9,6.2,1,1,2479.28
Darling Ingredients Inc.,US,9,64.7,5.3,0,2,2480.03
"The GEO Group, Inc.",US,6,62.3,12.3,0,2,2483.03
Sappi Ltd,South Africa,15,61.7,6.7,7,2,2483.97
"J. C. Penney Company, Inc.",US,11,61,6,0,3,2484.12
Rotork plc,UK,8,56.8,6.6,0,2,2496.26
"Ellie Mae, Inc.",US,11,61.5,8.5,0,2,2498.71
Generac Holdings Inc.,US,9,52.4,4.6,0,0,2501.33
"Kite Pharma, Inc.",US,9,59.6,4.2,1,1,2502.65
Air France Klm,France,15,60.1,3.5,0,5,2503.83
United States Steel Corporation,US,12,61.5,4.9,0,3,2503.85
Ontex Group NV,Belgium,8,55.3,1.8,0,1,2503.89
Lenzing AG,Austria,12,53.8,5.6,0,2,2509.05
West Fraser Timber Co. Ltd.,Canada,11,60.7,11.5,0,1,2511.03
PIK Group PJSC,Russia,12,45.7,1.6,1,3,2511.25
Paysafe Group plc,UK,7,60,2.9,0,0,2511.83
Korian,France,12,57.4,2.9,0,5,2512.78
"Sunstone Hotel Investors, Inc.",US,9,56.9,6.2,0,1,2514.52
Grafton Group plc,UK,8,57,8.3,0,0,2516.53
Deutsche Euroshop AG,Germany,9,51.3,5.4,0,3,2517.26
Britvic plc,UK,8,55.3,6,0,1,2518.69
NCC AB,Sweden,9,54.6,8.4,0,3,2520.73
Altran Technologies,France,12,57.5,4.6,0,4,2522.28
Daewoo International Corp.,South Korea,7,57.7,0.6,0,0,2528
LaSalle Hotel Properties,US,6,62.5,11.5,0,1,2529.14
Masimo Corporation,US,5,68,10.2,0,0,2530.59
Canadian Real Estate Investment Trust,Canada,8,64.8,5.8,0,2,2530.97
Porto Seguro SA,Brazil,7,54.4,5.8,0,1,2531.88
D'Ieteren,Belgium,11,53.1,10.1,0,2,2534.24
"Beacon Roofing Supply, Inc.",US,10,57.4,6,0,0,2539.25
Kate Spade & Company,US,10,58.1,7.9,0,4,2541.67
"QTS Realty Trust, Inc.",US,8,61.3,3,0,1,2545.97
IBERIABANK Corporation,US,11,66.9,15.1,0,1,2546.01
"PDC Energy, Inc.",US,7,58.7,11.4,0,1,2547.05
Banca Popolare di Milano Scarl,Italy,18,64.2,5,0,4,2547.23
OPAP (Greek Organisation of Football Prognostics SA),Greece,12,48.7,3,0,0,2552
Starz,US,9,59.2,2.7,0,1,2552.92
CoreSite Realty Corporation,US,7,56,6,0,0,2553.62
Orora Ltd.,Australia,6,65.7,7,0,2,2558.17
"Ryman Hospitality Properties, Inc.",US,9,61.7,8.2,0,2,2562.18
RLJ Lodging Trust,US,7,61.3,5,0,1,2562.3
The Medicines Company,US,11,66,10.4,0,1,2562.55
Evraz plc,UK,10,54.8,7.6,0,2,2562.78
Cofinimmo,Belgium,13,56.4,4.6,0,4,2562.92
National Beverage Corp.,US,5,71.4,17.6,0,0,2565.79
Dunelm Group plc,UK,9,51.2,6.3,0,2,2568.12
"Pandora Media, Inc.",US,9,57.6,5.4,0,2,2569.17
Regal Beloit Corporation,US,10,59.7,10.4,0,2,2571.5
Sopra Steria Group,France,16,61.3,6.4,0,5,2573.82
AMEC Foster Wheeler plc,UK,8,60.1,4,0,2,2575.77
Gerdau S.A.,Brazil,6,56.5,5.5,1,0,2576.7
Bharat Forge Ltd.,India,14,60.3,10.6,3,1,2578
"Brinker International, Inc.",US,10,57.3,3.6,0,2,2579.46
Veresen Inc.,Canada,9,56.8,6,0,2,2579.96
"Choice Hotels International, Inc.",US,10,58.5,8.9,0,2,2583.18
Convergys Corporation,US,9,58.8,7.2,0,3,2584.77
"AMC Entertainment Holdings, Inc.",US,9,58.9,1.8,0,1,2585.1
"Dycom Industries, Inc.",US,8,62.3,8,0,2,2589.73
Life Healthcare Group Holdings Ltd.,South Africa,11,56.5,5.5,2,3,2591.03
Cargotec Oyj,Finland,8,58.5,5.3,0,1,2591.78
Vienna Insurance Group Ag,Austria,10,63.1,7.8,0,3,2592.49
"Ionis Pharmaceuticals, Inc.",US,8,65,13.8,0,1,2593.21
TopDanmark AS,Denmark,9,52.2,3.8,0,6,2595.8
"MB Financial, Inc.",US,11,58.8,13.5,0,3,2600.65
"FireEye, Inc.",US,6,53.5,3.7,0,1,2601.8
Cobham plc,UK,9,59,4.2,0,2,2602.26
Belden Inc.,US,9,59.4,10.8,0,1,2605.07
The Timken Company,US,11,60.4,10.3,0,2,2607.22
Cogeco Communications Inc,Canada,9,64.4,10.2,0,4,2608.9
Cineplex Inc.,Canada,10,61.4,8.3,0,2,2609.48
"HSN, Inc.",US,9,59,6.4,0,4,2609.58
Logitech International S.A.,US,10,56.9,5.1,0,2,2610.45
Corporate Office Properties Trust,US,8,63.3,9.1,0,1,2612.36
"Littelfuse, Inc.",US,7,63.4,14.3,0,0,2614.24
Adelaide Brighton Ltd.,Australia,6,62.5,7.5,0,1,2616.72
"Proofpoint, Inc.",US,7,55,10.1,0,1,2618.73
Univar Inc.,US,11,56.3,4.5,0,1,2621.76
"Cavium, Inc.",US,5,57.8,9.2,0,0,2621.94
Science Applications International Corporation,US,9,58,1.6,0,2,2624.98
"Inovalon Holdings, Inc.",US,5,59.4,5.8,0,1,2629.43
Wintrust Financial Corporation,US,12,62.4,9.8,0,3,2630.68
"UNITED BANKSHARES, INC.",US,10,66.8,15.5,0,1,2630.96
Evolution Mining Ltd.,Australia,9,62.3,3.6,0,0,2632.6
VISCOFAN S.A.,Spain,10,56.7,6.9,0,1,2634.51
"PriceSmart, Inc.",US,10,62,9.6,0,2,2635.6
Acea Spa,Italy,9,49.7,2.7,0,5,2636.21
"Compass Minerals International, Inc.",US,8,60.5,6.8,0,2,2638.17
The Wendy's Company,US,11,61.1,8,0,2,2641.34
Stella-Jones Inc.,Canada,9,,15.1,0,2,2643.59
Truworths International Ltd,South Africa,10,58.3,10.3,2,1,2660.23
Hays plc,UK,8,54.4,4.9,0,2,2664.87
"HRG Group, Inc.",US,8,57.3,1.9,0,0,2667.23
Television francaise 1 TF1,France,11,57.5,7.5,0,6,2670.75
Janus Capital Group Inc.,US,10,60.8,5.7,0,2,2675.31
Hyundai Development Co. - Engineering & Construction,South Korea,9,58.8,4.8,0,0,2676.29
Associated Banc-Corp,US,11,61.7,8.6,0,3,2676.93
Duerr AG,Germany,12,57.8,5.3,0,2,2677.08
"Primerica, Inc.",US,11,57.9,4.6,0,3,2678.32
Physicians Realty Trust,US,7,63.4,3,0,0,2681.1
Vicat,France,10,59.5,12.3,0,3,2681.45
NV BEKAERT SA,Belgium,15,54.7,6.6,0,5,2682.11
Avista Corporation,US,10,59.4,12.1,0,4,2683.9
Equatorial Energia S.A.,Brazil,7,47.9,3.6,0,0,2685.29
Hyundai Department Store Co.,South Korea,7,54.9,3,0,0,2688.59
"Medidata Solutions, Inc.",US,7,55,11.4,0,0,2694.1
Jupiter Fund Management plc,UK,9,56,5.4,0,4,2697.06
F.N.B. Corporation,US,15,63.3,9.3,0,2,2698.08
Banco Popolare Scarl,Italy,24,57.5,5.3,0,5,2699.31
Linamar Corporation,Canada,6,65.5,21,0,1,2700.19
Sunrise Communications Group AG,Switzerland,8,55.3,0.4,0,1,2703.6
GameStop Corp.,US,11,61.5,8.5,0,2,2705.88
"MFA Financial, Inc.",US,8,64.6,9.5,0,2,2712.54
"Buffalo Wild Wings, Inc.",US,8,63.8,13.3,0,2,2716.28
E.ON Russia OJSC,Russia,9,48.7,3.3,0,1,2717.86
Murphy USA Inc.,US,10,61,2.7,0,1,2717.97
Unione di Banche Italiane S.p.A.,Italy,23,58.2,3.5,0,5,2718.02
"PRA Health Sciences, Inc.",US,7,48.9,2.7,0,1,2718.32
Jack in the Box Inc.,US,8,57.6,6.9,0,2,2720.1
"Trinity Industries, Inc.",US,11,64.9,10.9,0,1,2728.08
Platinum Asset Management Ltd,Australia,8,57.1,6.3,0,2,2729.28
Apollo Hospitals Enterprise Ltd.,India,13,65.5,16.7,6,4,2730.43
Technicolor,France,12,51.8,3.2,0,5,2730.57
"PNM Resources, Inc.",US,8,62.8,3.6,0,3,2731.32
ProAssurance Corporation,US,10,62.5,6.8,0,1,2731.54
KEPCO Plant Service & Engineering Co. Ltd.,South Korea,8,57.8,1.4,0,0,2735.56
Jardine Lloyd Thompson Group plc,UK,11,60.1,7.5,1,1,2737.86
Fresh Del Monte Produce Inc.,US,9,70.9,14.1,0,1,2738.41
"National Health Investors, Inc.",US,4,65,17,0,0,2740.02
Urban Edge Properties,US,7,62.1,1.3,0,1,2743.89
"Prestige Brands Holdings, Inc.",US,7,63.3,3.9,0,1,2744.01
Tenet Healthcare Corporation,US,12,62.1,8,0,4,2749.74
"Columbia Property Trust, Inc.",US,10,66.2,5.6,0,1,2753.32
Vector Group Ltd.,US,7,71.7,16.4,0,1,2756.86
Mahindra & Mahindra Financial Services Limited,India,8,64.5,10.4,2,1,2759.07
"Monolithic Power Systems, Inc.",US,7,58.1,10.9,0,1,2763.97
"American Eagle Outfitters, Inc.",US,7,64.7,11,0,1,2764.07
Azimut Holding S.P.A.,Italy,10,55.2,6.5,0,2,2764.81
UMB Financial Corporation,US,11,53.3,11.7,0,2,2767.49
"Landstar System, Inc.",US,7,60.6,8.6,0,2,2777.88
EnerSys,US,9,62.6,9.4,0,0,2778.2
"PS Business Parks, Inc.",US,8,60.5,9.1,0,2,2782.65
Tabcorp Holdings Ltd.,Australia,7,59.3,5.7,0,2,2785.4
Nordex SE,Germany,6,66,4.3,0,1,2788.25
"Superior Energy Services, Inc.",US,8,65.3,7.8,0,1,2789.01
Elekta AB,Sweden,9,58.8,8.3,0,3,2790.48
Tech Data Corporation,US,8,62.3,13,0,1,2794.97
Graham Holdings Company,US,12,59.9,10.6,0,2,2797.04
WH Smith plc,UK,6,55.2,5.5,0,2,2797.19
SBM Offshore NV,Netherlands,8,60.6,4.1,0,3,2801.31
FGC UES PJSC,Russia,14,46.1,1.8,0,0,2801.82
"B&G Foods, Inc.",US,8,61.8,11.5,0,2,2804.4
"NRG Yield, Inc.",US,6,57.2,3.3,0,1,2804.49
Finning International Inc.,Canada,12,61.5,5.5,0,2,2807.26
"Catalent, Inc.",US,9,57.8,3.4,0,0,2814.76
"Cable One, Inc.",US,8,58.8,3.5,0,3,2815.7
Helen of Troy Limited,US,8,60.3,8.6,0,1,2816.62
Qlik Technologies Inc.,US,7,55.7,8.9,0,1,2817.05
Aspen Insurance Holdings Limited,US,11,60.1,7,0,1,2826.66
Ashmore Group plc,UK,7,55.6,4.9,0,1,2829.49
Brandywine Realty Trust,US,8,70.8,14,1,1,2831.75
Tupperware Brands Corporation,US,12,66.1,11.6,0,5,2834.71
Banca Generali S.p.a.,Italy,8,50.5,2.4,0,2,2836.99
"Education Realty Trust, Inc.",US,8,59.8,5.8,0,1,2837.63
Dorma Kaba Holding AG,Switzerland,10,52.4,6.6,0,3,2839.62
Close Brothers Group plc,UK,9,59.8,6.3,0,3,2841.42
Dongsuh Co.,South Korea,4,63,9.5,0,0,2841.98
The Jean Coutu Group (PJC) Inc.,Canada,13,56.9,17.4,0,6,2846.29
"Demandware, Inc.",US,7,58.4,4.1,0,2,2848.59
DH Corporation,Canada,8,56,6.3,0,3,2849.02
Air Lease Corporation,US,8,62,5.1,0,1,2850.43
Nexity,France,11,57.7,4.4,0,4,2851.09
Beazley plc,UK,11,58.7,7.4,0,2,2852.25
Integra LifeSciences Holdings Corporation,US,10,61.3,12.1,0,1,2853.2
"Healthcare Services Group, Inc.",US,10,60.4,14.8,0,1,2856.17
"Molina Healthcare, Inc.",US,10,65.5,10.7,1,1,2856.93
Vista Outdoor Inc.,US,7,60.9,,0,1,2862.33
RLI Corp.,US,11,65.2,11,0,1,2863.12
"Yantai Jereh Oilfield Services Group Co., Ltd.",China,9,47,1.8,0,2,2863.48
"Rackspace Hosting, Inc.",US,8,48.9,4.8,0,2,2865.58
"EMCOR Group, Inc.",US,10,65.1,10.3,0,0,2868.1
SLM Corporation,US,12,65.3,4.1,0,3,2875.69
Ciena Corporation,US,9,65.1,13.7,0,2,2881.11
Euronext NV,Netherlands,9,56.4,2.8,0,3,2887.71
"Hudson Pacific Properties, Inc.",US,10,52.3,4.6,0,0,2892.63
"Sinclair Broadcast Group, Inc.",US,8,62.9,21.4,0,0,2893.7
Zebra Technologies Corporation,US,8,60.5,8.6,0,1,2894.06
Clarcor Inc.,US,10,65.9,10.5,0,0,2895.01
"LifePoint Health, Inc.",US,8,64.3,8.1,0,2,2900.18
Alumina Ltd.,Australia,6,59.6,4.3,0,1,2901.44
Intermediate Capital Group plc,UK,8,51.8,6,0,1,2901.55
"NuVasive, Inc.",US,8,60.4,3.8,0,2,2901.78
Nabors Industries Ltd.,US,7,63.4,6.7,1,0,2903.67
"First Pacific Co., Ltd.",Hong Kong,11,64.8,18.2,0,2,2907.51
Methanex Corporation,Canada,11,64.4,8,0,3,2908.5
Chimera Investment Corporation,US,7,59.9,7.7,0,0,2909.81
Cabot Corporation,US,10,64.7,12.3,0,2,2911.53
Mercury General Corporation,US,9,70.6,15.3,2,1,2915.76
The Bidvest Group Ltd,South Africa,17,55.1,9.3,3,5,2918.02
NorthWestern Corporation,US,7,63.1,8.4,0,2,2922.08
Man Group plc,UK,10,54.3,3.5,0,1,2929.35
Whiting Petroleum Corporation,US,8,68.1,7.1,0,1,2934.51
Software AG,Germany,6,50.5,4.2,0,1,2934.85
PSG Group Ltd,South Africa,13,54.5,10.6,4,0,2935.24
Colony Starwood Homes,US,12,61.8,1,0,0,2937.03
Stantec Inc.,Canada,8,64.8,9.3,0,2,2940.51
"Energizer Holdings, Inc.",US,10,64.8,1,0,1,2941.9
United Breweries Ltd.,India,12,61.6,6.5,2,1,2943.11
Grenke AG,Germany,6,56.5,8.5,0,2,2954.31
Carl Zeiss Meditec AG,Germany,6,52.2,5.8,0,2,2963.74
Chesapeake Energy Corporation,US,8,60.5,3.8,0,1,2964.35
Maple Leaf Foods Inc.,Canada,10,60.9,4.8,0,2,2968.64
Intrexon Corporation,US,8,64.6,5.4,1,0,2969.48
Spie SA,France,11,57,4.4,0,4,2974.19
Yuhan Corp.,South Korea,8,54.8,1.8,0,0,2976.76
Natura Cosmeticos S.A.,Brazil,9,57.3,4.6,1,2,2977.48
"First Citizens BancShares, Inc.",US,13,62.1,11.9,0,1,2982.71
ASM Pacific Technology Ltd.,Hong Kong,10,62,8.1,1,1,2985.26
