name,country,avgTenure,avgAge,percentWomen,cap,industry,industryTenure,industryAge,industryWomen,globalTenure,globalAge,globalWomen,countryTenure,countryAge,countryWomen
"EOG Resources, Inc.",US,10.4,70.1,14.3,46.2783,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
MannKind Corporation,US,8.9,70.1,0,0.4825,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
W. P. Carey Inc.,US,8.1,70.1,16.7,7.3222,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Vetoquinol SA,France,22.6,70,25,0.4969,Health Care,7.13,60.28,16,7.4,60,17,6.58443621,56.8279513,38
"United States Lime & Minerals, Inc.",US,19,70,0,0.3387,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
Nevsun Resources Ltd.,Canada,14.5,70,0,0.9149,Materials,6.88,60.08,16,7.4,60,17,7.662806089,60.97683653,17
"Five Star Quality Care, Inc.",US,12.6,70,40,0.1242,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Biotest AG,Germany,6.7,70,33.3,0.6626,Health Care,7.13,60.28,16,7.4,60,17,6.03255814,57.39255814,24
Canfor Pulp Products Inc.,Canada,4,70,0,0.5744,Materials,6.88,60.08,16,7.4,60,17,7.662806089,60.97683653,17
"L Brands, Inc.",US,19.6,69.9,18.2,19.9699,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
Cathay General Bancorp,US,17.8,69.9,8.3,2.3708,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Lifetime Brands, Inc.",US,17.5,69.9,20,0.2252,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
Chemed Corporation,US,19.8,69.8,10,2.3259,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Onex Corporation,Canada,17,69.8,18.2,6.1592,Financials,7.92,60.71,18,7.4,60,17,7.662806089,60.97683653,17
"ViaSat, Inc.",US,16,69.8,0,3.6366,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
M. Dias Branco S.A Industria E Comercio De Alimentos,Brazil,10,69.8,40,3.8905,Consumer Staples,7.41,59.11,21,7.4,60,17,4.684322034,58.40042373,6
"Insys Therapeutics, Inc.",US,8.5,69.8,0,1.0718,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Costco Wholesale Corporation,US,17.8,69.7,15.4,72.8986,Consumer Staples,7.41,59.11,21,7.4,60,17,8.247254471,61.43591152,15
Ramco-Gershenson Properties Trust,US,16.8,69.7,22.2,1.5918,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
M&T Bank Corporation,US,15.1,69.7,12.5,18.9304,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"GAMCO Investors, Inc.",US,14.7,69.7,16.7,1.0462,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
UnitedHealth Group Incorporated,US,14.3,69.7,20,134.3771,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
TowneBank,US,12.3,69.7,11.5,1.4429,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Pennsylvania Real Estate Investment Trust,US,10.4,69.7,11.1,1.5895,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Greenhill & Co., Inc.",US,9.7,69.7,16.7,0.5677,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Regeneron Pharmaceuticals, Inc.",US,19.3,69.6,10,39.3562,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Silgan Holdings Inc.,US,16.1,69.6,0,3.1709,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
CACI International Inc,US,13.1,69.6,0,2.2646,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
"Southside Bancshares, Inc.",US,12.9,69.6,14.3,0.8697,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
SJM Holdings Ltd.,Hong Kong,8.3,69.6,8.3,3.4867,Consumer Discretionary,7.57,59.12,20,7.4,60,17,9.783838384,61.74949495,13
"Toll Brothers, Inc.",US,19.1,69.5,9.1,4.5441,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
Markel Corporation,US,16.4,69.5,7.7,13.1834,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Insteel Industries, Inc.",US,22.7,69.4,0,0.5837,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"Kennedy-Wilson Holdings, Inc.",US,14.7,69.4,14.3,2.2385,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"RadNet, Inc.",US,14.4,69.4,0,0.2775,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Stone Energy Corporation,US,10.2,69.4,20,0.1099,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
"Healthcare Trust of America, Inc.",US,7.5,69.4,0,4.4526,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Ennis, Inc.",US,11.6,69.3,0,0.4835,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Teledyne Technologies Incorporated,US,10.7,69.3,20,3.5898,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"L-3 Communications Holdings, Inc.",US,9.8,69.3,10,11.5268,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
PARK ELECTROCHEMICAL CORP.,US,12.8,69.2,20,0.3379,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
Mitsubishi Electric Corp.,Japan,11.3,69.2,0,25.937,Industrials,7.44,60.22,17,7.4,60,17,11.00662252,67.57615894,5
"Almost Family, Inc.",US,19.7,69.1,0,0.4405,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Flushing Financial Corporation,US,16.2,69.1,15.4,0.6139,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
AGREE REALTY CORPORATION,US,12.8,69.1,0,1.1417,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Sony Corporation,Japan,10.7,69.1,13.3,37.9077,Consumer Discretionary,7.57,59.12,20,7.4,60,17,11.00662252,67.57615894,5
Las Vegas Sands Corp.,US,5.5,69.1,10,36.7001,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
SEI Investments Company,US,25.2,69,33.3,8.1904,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Columbia Sportswear Company,US,20.7,69,27.3,4.2729,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
Cerner Corporation,US,17.8,69,11.1,20.481,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
"UTAH MEDICAL PRODUCTS, INC.",US,17.8,69,20,0.2497,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
"RESOURCE AMERICA, INC.",US,15.2,69,0,0.2033,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
OceanaGold Corporation,Canada,5.8,69,12.5,2.2629,Materials,6.88,60.08,16,7.4,60,17,7.662806089,60.97683653,17
Tricon Capital Group Inc.,Canada,4,69,14.3,0.7872,Financials,7.92,60.71,18,7.4,60,17,7.662806089,60.97683653,17
Galaxy Entertainment Group Ltd.,Hong Kong,15.5,68.9,12.5,13.2833,Consumer Discretionary,7.57,59.12,20,7.4,60,17,9.783838384,61.74949495,13
"Taubman Centers, Inc.",US,14.7,68.9,0,4.6139,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"AmTrust Financial Services, Inc.",US,14,68.9,14.3,4.4023,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"The Hackett Group, Inc.",US,12.9,68.9,0,0.4079,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
Husky Energy Inc.,Canada,12.1,68.9,13.3,11.7994,Energy,7,60.92,12,7.4,60,17,7.662806089,60.97683653,17
Huntsman Corporation,US,10.5,68.9,12.5,3.7201,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
Clean Energy Fuels Corp.,US,10,68.9,0,0.3647,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
Liberty Global plc,US,9.5,68.9,9.1,29.2831,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
"Spectrum Pharmaceuticals, Inc.",US,8,68.9,0,0.4603,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
